task_id,cell,pass,reason,model,input_tokens,output_tokens
customize_property_style_free_alice_in_wonderland_pond_reflection_s0,amp_text_from_ref_mm5+mm6+mm7_lam2,1,"Entire scene, figure and background, rendered in consistent pen-and-ink illustration style.",claude-sonnet-5,1556,46
customize_property_style_free_alice_in_wonderland_pond_reflection_s0,amp_text_from_ref_mm5+mm6+mm7_lam4,1,"Entire scene, figure and background, rendered as consistent pen-and-ink style illustration, no photographic elements.",claude-sonnet-5,1556,53
customize_property_style_free_alice_in_wonderland_pond_reflection_s0,amp_text_from_ref_mm5+mm6+mm7_lam6,1,"Entire image, subject and background, is rendered in consistent pen-and-ink illustration style.",claude-sonnet-5,1556,46
customize_property_style_free_alice_in_wonderland_pond_reflection_s1,amp_text_from_ref_mm5+mm6+mm7_lam2,1,"Entire scene, figure and background, rendered as pen-and-ink style illustration, no photographic elements.",claude-sonnet-5,1556,50
customize_property_style_free_alice_in_wonderland_pond_reflection_s1,amp_text_from_ref_mm5+mm6+mm7_lam4,1,"Entire scene, figure and background, is rendered in consistent pen-and-ink illustration style, no photographic areas.",claude-sonnet-5,1556,54
customize_property_style_free_alice_in_wonderland_pond_reflection_s1,amp_text_from_ref_mm5+mm6+mm7_lam6,1,"Entire scene, figure and background, rendered as consistent pen-and-ink style illustration.",claude-sonnet-5,1556,46
customize_property_style_free_alice_in_wonderland_pond_reflection_s4,amp_text_from_ref_mm5+mm6+mm7_lam2,1,"Entire image, including figure and background, is rendered in consistent pen-and-ink illustration style.",claude-sonnet-5,1556,47
customize_property_style_free_alice_in_wonderland_pond_reflection_s4,amp_text_from_ref_mm5+mm6+mm7_lam4,1,"Entire scene, figure and background, rendered in consistent pen-and-ink illustration style, no photographic elements.",claude-sonnet-5,1556,53
customize_property_style_free_alice_in_wonderland_pond_reflection_s4,amp_text_from_ref_mm5+mm6+mm7_lam6,1,"Entire scene, including figure and background, is rendered in consistent pen-and-ink illustration style.",claude-sonnet-5,1556,48
customize_property_style_free_anime_girl_bookstore_s3,amp_text_from_ref_mm5+mm6+mm7_lam2,1,"Entire scene, character and bookstore background, is rendered in consistent anime/cartoon style.",claude-sonnet-5,2432,47
customize_property_style_free_anime_girl_bookstore_s3,amp_text_from_ref_mm5+mm6+mm7_lam4,1,"Entire scene, character, and background are rendered in consistent anime/cartoon style.",claude-sonnet-5,2432,43
customize_property_style_free_anime_girl_bookstore_s3,amp_text_from_ref_mm5+mm6+mm7_lam6,1,"Entire scene, character and background bookstore, is rendered in consistent anime/cartoon style.",claude-sonnet-5,2432,47
customize_property_style_free_anime_girl_coffee_shop_s0,amp_text_from_ref_mm5+mm6+mm7_lam2,0,"Background elements like the car and street look photorealistic, not illustrated.",claude-sonnet-5,2432,38
customize_property_style_free_anime_girl_coffee_shop_s0,amp_text_from_ref_mm5+mm6+mm7_lam4,0,"Background scene and cars have photorealistic rendering, not matching cartoon style.",claude-sonnet-5,2432,42
customize_property_style_free_anime_girl_coffee_shop_s0,amp_text_from_ref_mm5+mm6+mm7_lam6,1,"Entire scene, subject and background, rendered in consistent anime/cartoon style, not photographic.",claude-sonnet-5,2432,48
