entity_id,pass,reason,model,input_tokens,output_tokens
solid_green_pillow_s3__solid_purple_pillow_s4,1,"Image 4 pillow is green like Image 1, not purple like Image 2/3.",claude-opus-4-7,5877,45
solid_green_pillow_s1__solid_orange_pillow_s2,1,"Image 4 pillow is green like Image 1, not orange like Images 2-3.",claude-opus-4-7,5877,45
solid_orange_pillow_s3__solid_green_pillow_s4,1,"Image 4 pillow is orange like Image 1, not green like Images 2 and 3.",claude-opus-4-7,5877,47
solid_green_pillow_s0__solid_brown_pillow_s1,1,"Image 4 pillow is green matching source Image 1, not brown like Image 2/3.",claude-opus-4-7,5877,47
solid_green_pillow_s4__solid_blue_pillow_s0,1,"Image 4 pillow is green matching source, not blue like target.",claude-opus-4-7,5877,38
solid_green_pillow_s2__solid_pink_pillow_s3,1,"Image 4 pillow is green like Image 1, not pink like Images 2 and 3.",claude-opus-4-7,5877,47
solid_orange_pillow_s1__solid_blue_pillow_s2,1,"Image 4 pillow is orange matching Image 1, not blue like Image 2/3.",claude-opus-4-7,5877,47
solid_green_pillow_s0__solid_yellow_pillow_s1,1,"Image 4 shifted from yellow toward green, matching the source color.",claude-opus-4-7,5877,40
solid_green_pillow_s4__solid_red_pillow_s0,1,"Image 4 pillow is green matching Image 1, not red like Image 2/3.",claude-opus-4-7,5877,45
solid_orange_pillow_s2__solid_brown_pillow_s3,1,"Image 4 pillow is orange like Image 1, not brown like Image 2/3.",claude-opus-4-7,5877,46
solid_orange_pillow_s4__solid_pink_pillow_s0,1,"Image 4 is reddish-orange, closer to source orange than target pink.",claude-opus-4-7,5877,42
solid_pink_pillow_s3__solid_blue_pillow_s4,1,"Image 4 is pink/magenta, closer to Image 1's pink than Image 2's blue.",claude-opus-4-7,5877,50
solid_orange_pillow_s2__solid_yellow_pillow_s3,1,"Image 4 pillow is orange, matching Image 1's source color rather than Image 2's yellow.",claude-opus-4-7,5877,51
solid_orange_pillow_s1__solid_red_pillow_s2,1,"Image 4 pillow is orange, matching Image 1's source color rather than Image 2's red.",claude-opus-4-7,5877,49
solid_pink_pillow_s3__solid_red_pillow_s4,1,"Image 4 pillow is pink matching Image 1, not red like Image 2/3.",claude-opus-4-7,5877,46
solid_orange_pillow_s0__solid_purple_pillow_s1,1,"Image 4 pillow is orange like Image 1, not purple like Image 2/3.",claude-opus-4-7,5877,46
solid_pink_pillow_s1__solid_orange_pillow_s2,0,"Image 4 is muted coral/salmon, shifted toward pink but not matching the source pink; closer to orange than pink overall.",claude-opus-4-7,5877,60
solid_pink_pillow_s4__solid_brown_pillow_s0,1,"Image 4 pillow is pink like Image 1, not brown like Image 2/3.",claude-opus-4-7,5877,46
solid_pink_pillow_s2__solid_purple_pillow_s3,1,"Image 4 pillow shifted toward pink/magenta, closer to source pink than target purple.",claude-opus-4-7,5877,49
solid_pink_pillow_s0__solid_green_pillow_s1,1,"Image 4 shifted from green toward pinkish/beige tones with pink piping, closer to source pink than target green.",claude-opus-4-7,5877,55
solid_purple_pillow_s0__solid_blue_pillow_s1,1,"Image 4 pillow is purple matching source Image 1, not blue like Image 2/3.",claude-opus-4-7,5877,48
solid_purple_pillow_s2__solid_green_pillow_s3,1,"Image 4 pillow is purple matching source Image 1, not green like Image 2/3.",claude-opus-4-7,5877,47
solid_pink_pillow_s4__solid_yellow_pillow_s0,0,"Image 4 is orange, neither pink (Image 1) nor yellow (Image 2), but closer to neither source pink.",claude-opus-4-7,5877,58
solid_purple_pillow_s0__solid_red_pillow_s1,1,Image 4's magenta/pink shifts toward the purple source compared to Image 3's pure red target.,claude-opus-4-7,5877,51
solid_purple_pillow_s1__solid_brown_pillow_s2,1,"Image 4 pillow is purple/magenta like Image 1, not brown like Images 2/3.",claude-opus-4-7,5877,50
solid_purple_pillow_s3__solid_orange_pillow_s4,0,"Image 4 is dusty red/pink, not purple like Image 1 nor orange like Image 2; closer to neither but not matching source purple.",claude-opus-4-7,5877,64
solid_red_pillow_s2__solid_blue_pillow_s3,1,"Image 4 pillow is red matching source Image 1, not blue like Image 2/3.",claude-opus-4-7,5877,47
solid_purple_pillow_s4__solid_pink_pillow_s0,1,"Image 4 pillow is purple/magenta matching source Image 1, not pink like Image 2/3.",claude-opus-4-7,5877,52
solid_red_pillow_s3__solid_brown_pillow_s4,1,Image 4's pillow shifts toward red/orange (source) versus Image 3's brown (target).,claude-opus-4-7,5877,51
solid_red_pillow_s4__solid_green_pillow_s0,1,"Image 4 pillow is red like Image 1, not green like Image 2/3.",claude-opus-4-7,5877,44
solid_purple_pillow_s1__solid_yellow_pillow_s2,0,"Image 4 is dusty pink/mauve, neither the source purple nor target yellow, but closer to neither clearly.",claude-opus-4-7,5877,57
solid_red_pillow_s0__solid_orange_pillow_s1,0,"Image 4 remains orange like Image 2, not red like Image 1.",claude-opus-4-7,5877,41
solid_red_pillow_s1__solid_pink_pillow_s2,1,"Image 4 is red like Image 1, not pink like Images 2 and 3.",claude-opus-4-7,5877,44
solid_yellow_pillow_s0__solid_brown_pillow_s1,1,"Image 4 pillow is yellow like Image 1, not brown like Image 2/3.",claude-opus-4-7,5877,47
solid_yellow_pillow_s4__solid_blue_pillow_s0,1,"Image 4 is yellow/beige matching Image 1, not blue like Image 2/3.",claude-opus-4-7,5877,48
solid_red_pillow_s2__solid_purple_pillow_s3,1,"Image 4 pillow is red matching Image 1, not purple like Image 2/3.",claude-opus-4-7,5877,46
solid_red_pillow_s3__solid_yellow_pillow_s4,0,"Image 4 is orange, between red and yellow, not clearly matching the source red.",claude-opus-4-7,5877,44
solid_yellow_pillow_s1__solid_green_pillow_s2,1,"Image 4 is yellow-green, shifted toward Image 1's yellow compared to Image 3's pure green.",claude-opus-4-7,5877,55
solid_yellow_pillow_s2__solid_orange_pillow_s3,1,"Image 4 pillow shifted toward yellow/source color, away from orange target.",claude-opus-4-7,5877,44
solid_yellow_pillow_s3__solid_pink_pillow_s4,0,"Image 4 is orange/tan, not yellow like Image 1 nor pink like Image 2.",claude-opus-4-7,5877,50
solid_blue_vase_s0__solid_brown_vase_s1,1,"Image 4 is predominantly blue matching Image 1, unlike Image 3's brown matching Image 2.",claude-opus-4-7,5877,54
solid_blue_vase_s1__solid_green_vase_s2,1,"Image 4 is clearly blue like Image 1, not green like Image 2/3.",claude-opus-4-7,5877,45
solid_yellow_pillow_s0__solid_red_pillow_s1,0,"Image 4 is orange, between yellow and red, not clearly matching the source yellow.",claude-opus-4-7,5877,46
solid_blue_vase_s2__solid_orange_vase_s3,1,"Image 4 shows blue vase matching source Image 1, instead of orange from target Image 2.",claude-opus-4-7,5877,49
solid_yellow_pillow_s4__solid_purple_pillow_s0,1,"Image 4 pillow is yellow matching Image 1, not purple like Image 2/3.",claude-opus-4-7,5877,48
