entity_id,pass,reason,model,input_tokens,output_tokens
solid_green_pillow_s0__solid_brown_pillow_s1,1,"Image 4 pillow is green like Image 1, not brown like Image 2/3.",claude-opus-4-7,5870,45
solid_green_pillow_s0__solid_yellow_pillow_s1,1,"Image 4 pillow is green like Image 1, not yellow like Images 2/3.",claude-opus-4-7,5870,46
solid_green_pillow_s4__solid_blue_pillow_s0,1,"Image 4 pillow is green matching Image 1, not blue like Image 2.",claude-opus-4-7,5870,44
solid_green_pillow_s3__solid_purple_pillow_s4,1,"Image 4 pillow is green matching Image 1, unlike Image 3 which is purple like Image 2.",claude-opus-4-7,5870,53
solid_green_pillow_s4__solid_red_pillow_s0,1,"Image 4 pillow is green matching Image 1, while Image 3 is red matching Image 2.",claude-opus-4-7,5870,50
solid_orange_pillow_s2__solid_brown_pillow_s3,1,Image 4 shifts toward orange (Image 1) compared to the brown pillow in Image 3.,claude-opus-4-7,5870,51
solid_orange_pillow_s1__solid_blue_pillow_s2,1,"Image 4 pillow is orange matching source Image 1, not blue like Image 2/3.",claude-opus-4-7,5870,48
solid_green_pillow_s1__solid_orange_pillow_s2,1,"Image 4 pillow is green matching Image 1, not orange like Images 2/3.",claude-opus-4-7,5870,46
solid_green_pillow_s2__solid_pink_pillow_s3,1,"Image 4 pillow is green matching Image 1, not pink like Image 2.",claude-opus-4-7,5870,44
solid_brown_pillow_s3__solid_yellow_pillow_s4,0,"Image 4 is darker mustard/yellow, shifted toward brown but still predominantly yellow, not matching brown source.",claude-opus-4-7,5870,58
solid_orange_pillow_s4__solid_pink_pillow_s0,1,"Image 4 pillow is orange matching source, not pink target.",claude-opus-4-7,5870,38
solid_orange_pillow_s2__solid_yellow_pillow_s3,1,"Image 4 pillow is orange like Image 1, not yellow like Image 2/3.",claude-opus-4-7,5870,47
solid_orange_pillow_s0__solid_purple_pillow_s1,1,"Image 4 pillow is orange like Image 1, not purple like Image 2/3.",claude-opus-4-7,5870,46
solid_pink_pillow_s4__solid_brown_pillow_s0,1,"Image 4 pillow is pink matching Image 1, not brown like Image 2/3.",claude-opus-4-7,5870,47
solid_pink_pillow_s0__solid_green_pillow_s1,1,"Image 4 is pink, matching source Image 1, instead of green like Image 2/3.",claude-opus-4-7,5870,47
solid_pink_pillow_s3__solid_blue_pillow_s4,1,"Image 4 pillow is pink/magenta matching Image 1, not blue like Image 2/3.",claude-opus-4-7,5870,51
solid_pink_pillow_s2__solid_purple_pillow_s3,1,"Image 4 shifted from purple toward pink/magenta, closer to source pink than target purple.",claude-opus-4-7,5870,49
solid_pink_pillow_s1__solid_orange_pillow_s2,1,"Image 4 shifted from orange toward a pink/coral hue, closer to source pink than target orange.",claude-opus-4-7,5870,51
solid_orange_pillow_s3__solid_green_pillow_s4,1,"Image 4 pillow is orange matching Image 1, not green like Image 2/3.",claude-opus-4-7,5870,46
solid_orange_pillow_s1__solid_red_pillow_s2,1,"Image 4 pillow is orange matching Image 1, not red like Image 2/3.",claude-opus-4-7,5870,46
solid_purple_pillow_s0__solid_blue_pillow_s1,1,"Image 4 pillow is purple matching Image 1, not blue like Image 2/3.",claude-opus-4-7,5870,47
solid_pink_pillow_s3__solid_red_pillow_s4,1,"Image 4 pillow is pink matching Image 1, not red like Image 2/3.",claude-opus-4-7,5870,46
solid_purple_pillow_s1__solid_brown_pillow_s2,1,"Image 4 pillow is purple matching Image 1, not brown like Image 2/3.",claude-opus-4-7,5870,47
solid_pink_pillow_s4__solid_yellow_pillow_s0,0,"Image 4 is salmon/coral, not pink like Image 1 nor yellow like Image 2; closer to neither but not matching source pink.",claude-opus-4-7,5870,64
solid_purple_pillow_s4__solid_pink_pillow_s0,1,"Image 4 pillow is purple matching Image 1, not pink like Image 2/3.",claude-opus-4-7,5870,47
solid_purple_pillow_s0__solid_red_pillow_s1,1,"Image 4 shifts toward purple/magenta, closer to source purple than target red.",claude-opus-4-7,5870,45
solid_purple_pillow_s3__solid_orange_pillow_s4,0,"Image 4 is pink/mauve, not purple like source nor orange like target; closer to neither but not source purple.",claude-opus-4-7,5870,54
solid_red_pillow_s2__solid_blue_pillow_s3,1,"Image 4 pillow is red, matching Image 1's source color instead of Image 2's blue.",claude-opus-4-7,5870,49
solid_purple_pillow_s1__solid_yellow_pillow_s2,1,"Image 4 is purplish/mauve, shifted toward source purple rather than target yellow.",claude-opus-4-7,5870,48
solid_purple_pillow_s2__solid_green_pillow_s3,1,"Image 4 pillow is purple matching Image 1, not green like Image 2/3.",claude-opus-4-7,5870,46
solid_red_pillow_s3__solid_brown_pillow_s4,1,"Image 4 pillow is reddish, closer to source red than target brown.",claude-opus-4-7,5870,41
solid_red_pillow_s4__solid_green_pillow_s0,1,"Image 4 pillow is red matching source Image 1, not green like Image 2/3.",claude-opus-4-7,5870,46
solid_red_pillow_s1__solid_pink_pillow_s2,1,"Image 4 pillow is red matching source, not pink target.",claude-opus-4-7,5870,37
solid_red_pillow_s2__solid_purple_pillow_s3,1,"Image 4 pillow is red matching Image 1, not purple like Image 2/3.",claude-opus-4-7,5870,46
solid_red_pillow_s0__solid_orange_pillow_s1,0,"Image 4 remains orange like Image 2/3, not red like Image 1.",claude-opus-4-7,5870,43
solid_yellow_pillow_s4__solid_blue_pillow_s0,1,"Image 4 pillow is yellow matching Image 1, not blue like Image 2/3.",claude-opus-4-7,5870,48
solid_red_pillow_s3__solid_yellow_pillow_s4,0,"Image 4 is orange, between red and yellow but not matching source red.",claude-opus-4-7,5870,40
solid_yellow_pillow_s1__solid_green_pillow_s2,1,"Image 4 pillow is yellow matching Image 1, not green like Image 2/3.",claude-opus-4-7,5870,47
solid_yellow_pillow_s2__solid_orange_pillow_s3,1,"Image 4 pillow is yellow matching Image 1, not orange like Images 2/3.",claude-opus-4-7,5870,48
solid_yellow_pillow_s0__solid_brown_pillow_s1,1,"Image 4 pillow is yellow matching Image 1, not brown like Images 2 and 3.",claude-opus-4-7,5870,50
solid_yellow_pillow_s0__solid_red_pillow_s1,1,"Image 4 shifted to yellow/orange, closer to Image 1's yellow than Image 2's red.",claude-opus-4-7,5870,53
solid_blue_vase_s0__solid_brown_vase_s1,1,"Image 4 is predominantly blue matching Image 1, not brown like Images 2 and 3.",claude-opus-4-7,5870,50
solid_yellow_pillow_s3__solid_pink_pillow_s4,1,"Image 4 pillow is yellow matching Image 1, not pink like Image 2/3.",claude-opus-4-7,5870,48
solid_blue_vase_s4__solid_purple_vase_s0,1,"Image 4 is predominantly blue like Image 1, unlike Image 3's purple matching Image 2.",claude-opus-4-7,5870,53
solid_blue_vase_s3__solid_pink_vase_s4,1,"Image 4 is blue/purple matching source, while Image 3 was pink matching target.",claude-opus-4-7,5870,46
solid_blue_vase_s2__solid_orange_vase_s3,1,"Image 4 vase is blue matching source, unlike orange Image 3.",claude-opus-4-7,5870,42
solid_blue_vase_s1__solid_green_vase_s2,1,"Image 4 is predominantly blue matching Image 1's source color, replacing Image 3's green.",claude-opus-4-7,5870,50
solid_yellow_pillow_s4__solid_purple_pillow_s0,1,"Image 4 pillow is yellow matching Image 1, not purple like Image 2/3.",claude-opus-4-7,5870,48
solid_blue_vase_s0__solid_red_vase_s1,1,"Image 4 is predominantly blue, matching Image 1's source color rather than Image 2's red.",claude-opus-4-7,5870,50
solid_blue_vase_s1__solid_yellow_vase_s2,1,"Image 4 background is blue matching Image 1, unlike Image 3's yellow background.",claude-opus-4-7,5870,47
solid_brown_vase_s2__solid_blue_vase_s3,1,"Image 4 is brown matching Image 1, not blue like Image 2/3.",claude-opus-4-7,5870,44
solid_brown_vase_s3__solid_green_vase_s4,1,"Image 4's vase is brown matching Image 1's source color, unlike Image 3's green target.",claude-opus-4-7,5870,49
solid_brown_vase_s4__solid_orange_vase_s0,1,"Image 4's background and vase shifted toward the brown of Image 1, away from Image 3's orange.",claude-opus-4-7,5870,51
solid_brown_vase_s0__solid_pink_vase_s1,1,"Image 4 is brown like Image 1, not pink like Images 2 and 3.",claude-opus-4-7,5870,45
solid_brown_vase_s1__solid_purple_vase_s2,1,"Image 4 is brown like Image 1, not purple like Image 2/3.",claude-opus-4-7,5870,43
solid_green_vase_s4__solid_blue_vase_s0,1,"Image 4 is green matching Image 1, not blue like Image 2/3.",claude-opus-4-7,5870,43
solid_brown_vase_s3__solid_yellow_vase_s4,1,"Image 4's vase is brown/ochre, much closer to Image 1's brown than Image 3's yellow.",claude-opus-4-7,5870,54
solid_brown_vase_s2__solid_red_vase_s3,1,"Image 4 shifted from red toward brown/terracotta, closer to Image 1's brown than Image 2's red.",claude-opus-4-7,5870,56
solid_green_vase_s0__solid_brown_vase_s1,1,"Image 4's vase is predominantly green, matching Image 1's source color rather than Image 2's brown.",claude-opus-4-7,5870,52
solid_green_vase_s2__solid_pink_vase_s3,1,"Image 4 is green like Image 1, not pink like Image 2/3.",claude-opus-4-7,5870,42
solid_green_vase_s1__solid_orange_vase_s2,1,"Image 4's background is green matching Image 1, unlike Image 3's orange.",claude-opus-4-7,5870,44
solid_green_vase_s4__solid_red_vase_s0,1,"Image 4 vase and background are green, matching Image 1's source color rather than Image 2's red.",claude-opus-4-7,5870,49
solid_orange_vase_s1__solid_blue_vase_s2,1,"Image 4 is orange like Image 1, not blue like Image 2/3.",claude-opus-4-7,5870,43
solid_green_vase_s3__solid_purple_vase_s4,1,"Image 4's vase is green like Image 1, not purple like Image 2/3.",claude-opus-4-7,5870,44
solid_orange_vase_s4__solid_pink_vase_s0,1,"Image 4 is orange like Image 1, not pink like Images 2 and 3.",claude-opus-4-7,5870,45
solid_orange_vase_s3__solid_green_vase_s4,1,"Image 4's vase is orange like Image 1, unlike Image 3's green.",claude-opus-4-7,5870,44
solid_orange_vase_s2__solid_brown_vase_s3,1,"Image 4 background is orange like Image 1, unlike Image 3's white/brown.",claude-opus-4-7,5870,46
solid_green_vase_s0__solid_yellow_vase_s1,1,"Image 4's vase shifted to green, matching source Image 1, unlike yellow Image 3.",claude-opus-4-7,5870,50
solid_orange_vase_s0__solid_purple_vase_s1,1,"Image 4 is orange like Image 1, not purple like Image 2/3.",claude-opus-4-7,5870,43
solid_orange_vase_s1__solid_red_vase_s2,1,"Image 4's background and vase are orange, matching Image 1's source color rather than Image 2's red.",claude-opus-4-7,5870,50
solid_pink_vase_s0__solid_green_vase_s1,1,"Image 4 is predominantly pink like Image 1, not green like Image 2/3.",claude-opus-4-7,5870,46
solid_pink_vase_s4__solid_brown_vase_s0,1,Image 4 shows pink tones matching Image 1's pink rather than Image 2's brown.,claude-opus-4-7,5870,49
solid_orange_vase_s2__solid_yellow_vase_s3,1,"Image 4's vase is orange like Image 1, unlike the yellow vase in Image 3.",claude-opus-4-7,5870,49
solid_pink_vase_s3__solid_blue_vase_s4,1,"Image 4 shifts to pink/red and purple tones, closer to source pink than target blue.",claude-opus-4-7,5870,48
solid_pink_vase_s2__solid_purple_vase_s3,1,"Image 4 vase is pink like Image 1, not purple like Image 2/3.",claude-opus-4-7,5870,45
solid_pink_vase_s3__solid_red_vase_s4,1,"Image 4's background and vase shifted to pink, matching Image 1 rather than Image 2's red.",claude-opus-4-7,5870,51
