entity_id,pass,reason,model,input_tokens,output_tokens
solid_green_mug_s0,1,"The green color from the reference is gone in Image 3, replaced by blue.",claude-opus-4-7,4434,41
solid_green_mug_s2,0,"Image 3 mug is still predominantly green, matching the reference color.",claude-opus-4-7,4434,40
solid_green_hat_s2,1,"Hat changed from green to tan, losing the reference green color.",claude-opus-4-7,4434,37
solid_green_mug_s1,0,"Image 3 mug is still predominantly green, similar hue to reference; color not significantly removed.",claude-opus-4-7,4434,49
solid_green_hat_s0,1,"Green background from Image 1 is removed in Image 3, replaced by white.",claude-opus-4-7,4434,42
solid_green_couch_s3,0,"Image 3 sofa remains green, just a duller sage tone; the predominant green color is not significantly removed.",claude-opus-4-7,4434,53
solid_green_hat_s4,1,"Image 3 is mostly tan/beige with only residual green patches, losing the dominant green from Image 1.",claude-opus-4-7,4434,53
solid_green_hat_s1,1,"Image 3 hat is brown, losing the green color from the reference.",claude-opus-4-7,4434,39
solid_green_couch_s4,1,"Half of the sofa lost the green color, turning tan/brown, indicating partial loss of the reference color.",claude-opus-4-7,4434,52
solid_green_hat_s3,1,"Green background and green hat color from Image 1 are gone in Image 3, replaced with white/brown.",claude-opus-4-7,4434,50
solid_green_mug_s3,1,"Image 3 mug is gray-blue, losing the green color present in Image 2.",claude-opus-4-7,4434,44
solid_green_pillow_s0,1,"Image 3 is blue, no longer green like the reference.",claude-opus-4-7,4434,36
solid_green_mug_s4,0,"Image 3 mug remains predominantly green, matching the reference color.",claude-opus-4-7,4434,40
solid_green_pillow_s1,0,"Image 3 still shows a clearly green pillow, only slightly darker; the predominant green color is retained.",claude-opus-4-7,4434,52
solid_green_pillow_s2,1,"Image 3 lost the vivid green of Image 1, becoming muted teal.",claude-opus-4-7,4434,44
solid_green_vase_s0,0,Image 3 still shows a predominantly green vase matching the reference color.,claude-opus-4-7,4434,41
solid_green_vase_s1,1,"Image 3's background is peach/cream and vase is muted, losing the dominant green from the reference.",claude-opus-4-7,4434,49
solid_green_pillow_s4,1,"Image 3 is gray, losing the green color from Image 1 that was present in Image 2.",claude-opus-4-7,4434,47
solid_green_pillow_s3,1,"Image 3 lost the green color, becoming beige/tan instead.",claude-opus-4-7,4434,40
solid_green_vase_s2,1,"Green background and body color are largely removed, replaced by white background and tan/brown vase.",claude-opus-4-7,4434,45
solid_green_vase_s4,1,Image 3 background is white and vase is pale; the vivid green from Image 1 is largely gone.,claude-opus-4-7,4434,50
solid_orange_ball_s0,0,"The orange ball remains predominantly orange; only the background changed to white, so the predominant color is preserved.",claude-opus-4-7,4434,51
solid_green_vase_s3,1,"Image 3 lost the green color entirely, now reddish-brown on cream background.",claude-opus-4-7,4434,44
solid_orange_ball_s1,0,The orange ball retains the reference color; only the background changed to white.,claude-opus-4-7,4434,38
solid_orange_car_s1,1,"Image 3 background is white, losing the orange color seen in Image 2.",claude-opus-4-7,4434,41
solid_orange_car_s0,1,"Image 3 background is white, losing the orange solid color from Image 1 that was present in Image 2.",claude-opus-4-7,4434,50
solid_orange_ball_s3,1,"The orange background is gone in Image 3, replaced with white, indicating the color depended on ref->text attention.",claude-opus-4-7,4434,52
solid_orange_car_s2,1,"Image 3 lost the orange color entirely, showing red car on white background instead.",claude-opus-4-7,4434,43
solid_orange_ball_s2,1,"Background lost orange color, now white; ablation removed reference color influence.",claude-opus-4-7,4434,40
solid_orange_ball_s4,1,"Image 3 lost the orange color, becoming predominantly blue with only a small orange cap.",claude-opus-4-7,4434,48
solid_orange_car_s3,1,"Image 3 lost the orange color and background entirely, becoming red on white.",claude-opus-4-7,4434,42
solid_orange_car_s4,1,Background changed from solid orange to white; orange color predominantly lost.,claude-opus-4-7,4434,40
solid_orange_chair_s1,1,"Image 3 lost the vivid orange, becoming a muted brown/tan, indicating color depended on ref->text path.",claude-opus-4-7,4434,57
solid_orange_chair_s3,1,"Image 3 background is white, losing the orange color present in Image 2.",claude-opus-4-7,4434,40
solid_orange_chair_s0,1,"Orange background is gone in Image 3, replaced with white, indicating color depended on ref->text path.",claude-opus-4-7,4434,50
solid_orange_chair_s2,1,"Orange background and overall orange tint are gone in Image 3, replaced by white background with only seat orange.",claude-opus-4-7,4434,51
solid_orange_chair_s4,1,"Image 3's orange background is removed, now white, while chair retains some orange tone.",claude-opus-4-7,4434,44
solid_orange_couch_s0,1,"Image 3 sofa is green, completely losing the orange color from Image 1.",claude-opus-4-7,4434,43
solid_orange_couch_s3,1,"Orange color from reference is gone in Image 3, replaced by gray.",claude-opus-4-7,4434,41
solid_orange_couch_s2,1,"Image 3 lost the orange color entirely, becoming gray/blue on white background.",claude-opus-4-7,4434,45
solid_orange_couch_s1,1,"Image 3 sofa is olive/tan, no longer the orange of Image 1, indicating color was lost.",claude-opus-4-7,4434,53
solid_orange_couch_s4,1,"The vibrant orange in Image 2 has shifted to a muted brown/tan in Image 3, losing the reference color.",claude-opus-4-7,4434,57
solid_orange_hat_s0,0,"Image 3 still shows the orange hat color predominantly, matching Image 1's hue.",claude-opus-4-7,4434,47
solid_orange_hat_s1,1,"Image 3 shifted from vivid orange to muted tan, losing the predominant orange color of the reference.",claude-opus-4-7,4434,52
solid_orange_hat_s2,0,The hat in Image 3 retains the orange color from Image 1; only the background changed to white.,claude-opus-4-7,4434,47
solid_orange_hat_s3,1,"Orange background and orange hat tint are gone in Image 3, replaced by white background and brown hat.",claude-opus-4-7,4434,50
solid_orange_mug_s0,0,Image 3 retains the same orange color as Image 1.,claude-opus-4-7,4434,36
solid_orange_hat_s4,1,"Orange background is gone in Image 3, replaced with white, indicating color depended on ref->text path.",claude-opus-4-7,4434,50
solid_orange_mug_s1,0,Image 3 retains the same predominant orange color as Image 1 and Image 2.,claude-opus-4-7,4434,45
solid_blue_ball_s2,0,"Image 3 is still predominantly blue, similar hue family to reference; color not significantly removed.",claude-opus-4-7,4434,49
solid_orange_mug_s2,1,"Image 3 lost the orange color, becoming predominantly blue with only a small red handle accent.",claude-opus-4-7,4434,49
solid_orange_mug_s3,1,"Image 3 shifted from orange to red, losing the reference orange color.",claude-opus-4-7,4434,41
solid_blue_ball_s3,1,"Image 3 lost the blue color entirely, becoming green on white background, while Image 2 retained blue.",claude-opus-4-7,4434,52
solid_orange_mug_s4,1,"Image 3 lost the orange body color, now blue with white background, while Image 2 was fully orange.",claude-opus-4-7,4434,50
solid_blue_car_s0,1,"Image 3 background is pale blue, losing the strong solid blue color of Image 1 present in Image 2.",claude-opus-4-7,4434,53
solid_orange_pillow_s0,1,"Image 3 is green, losing the orange color from Image 1 that was present in Image 2.",claude-opus-4-7,4434,47
solid_blue_ball_s4,1,"Image 3 is red, losing the blue color from Image 1 that was preserved in Image 2.",claude-opus-4-7,4434,49
solid_orange_pillow_s1,1,"Image 3 lost the orange hue, becoming brown/tan, indicating color depended on ref->text path.",claude-opus-4-7,4434,53
solid_blue_car_s1,1,"Car changed from blue (matching reference) to red, indicating color was lost when ref->text path was blocked.",claude-opus-4-7,4434,52
solid_blue_car_s2,1,"Image 3 lost the solid blue background and the car's uniform blue color, replaced with white background and green/teal car.",claude-opus-4-7,4434,55
solid_orange_pillow_s2,1,"Image 3 shifted from orange to mustard yellow, losing the reference's orange color.",claude-opus-4-7,4434,47
solid_orange_pillow_s3,1,"Image 3 lost the orange color, becoming brown/tan, indicating color depended on ref->text attention.",claude-opus-4-7,4434,53
solid_blue_car_s3,1,"Car changed from blue (matching ref) to red, indicating color was lost when ref->text attention was blocked.",claude-opus-4-7,4434,53
solid_orange_pillow_s4,0,"Image 3 retains a similar orange hue, only slightly muted, not significantly removed.",claude-opus-4-7,4434,47
solid_orange_vase_s0,1,"Image 3 lost the orange color, showing beige background and gray vase instead.",claude-opus-4-7,4434,43
solid_blue_car_s4,1,"Car changed from blue (matching reference) to red, indicating color was lost when ref->text was blocked.",claude-opus-4-7,4434,51
solid_blue_chair_s0,1,"Image 3's background is pale light blue, not the saturated royal blue of Image 1, and the chair lost the blue tint.",claude-opus-4-7,4434,58
solid_blue_chair_s2,1,"Image 3 lost the blue color entirely, showing white background and beige chair instead.",claude-opus-4-7,4434,45
solid_blue_chair_s1,1,"Image 3 lost the dominant blue, now white background with tan chair.",claude-opus-4-7,4434,41
solid_orange_vase_s1,1,"Image 3 lost the orange color entirely, becoming gray/olive on white background.",claude-opus-4-7,4434,45
solid_orange_vase_s2,1,"Image 3 lost the orange color entirely, now white background with grey vase.",claude-opus-4-7,4434,42
solid_orange_vase_s3,1,"Image 3 lost the orange background and vase color, replaced with beige and brown.",claude-opus-4-7,4434,44
solid_blue_chair_s4,1,"Blue background and blue chair upholstery in Image 2 are gone in Image 3, replaced by white background.",claude-opus-4-7,4434,53
solid_orange_vase_s4,1,"Image 3 background and vase are pale beige and muted yellow, losing the vivid orange of Image 1.",claude-opus-4-7,4434,53
solid_blue_chair_s3,1,"Blue background is gone in Image 3, replaced with white.",claude-opus-4-7,4434,37
solid_pink_ball_s0,1,"Pink background and pink ball replaced by white background and blue ball, color clearly lost.",claude-opus-4-7,4434,46
solid_blue_couch_s0,1,"Image 3 sofa is muted blue-gray, losing the vivid blue of Image 1 seen in Image 2.",claude-opus-4-7,4434,57
solid_blue_couch_s1,1,"The vivid blue from Image 1 is largely gone in Image 3, replaced by gray tones.",claude-opus-4-7,4434,50
solid_pink_ball_s2,1,"Image 3 lost the pink color, becoming purple on white, while Image 2 retained pink.",claude-opus-4-7,4434,49
solid_pink_ball_s1,0,"Image 3 sphere remains pink and background turned white; pink color largely retained, not significantly removed.",claude-opus-4-7,4434,51
solid_blue_couch_s2,1,"Image 3 lost the blue color entirely, showing white background and green sofa instead.",claude-opus-4-7,4434,45
solid_pink_ball_s3,1,"Image 3 lost the pink color, now red on white background.",claude-opus-4-7,4434,36
solid_blue_couch_s3,1,"Image 3 sofa is dark green/teal, no longer the blue of Image 1.",claude-opus-4-7,4434,46
solid_blue_couch_s4,1,"Image 3 sofa is gray/green, losing the blue color of Image 1 present in Image 2.",claude-opus-4-7,4434,51
solid_pink_ball_s4,1,"Image 3 lost the pink color entirely, showing yellow and red instead.",claude-opus-4-7,4434,43
solid_pink_car_s0,1,"Image 3 lost the pink color entirely, showing white background and orange car instead.",claude-opus-4-7,4434,44
solid_blue_hat_s0,1,"The blue from Image 1 is largely removed in Image 3; the hat crown is now brown, only brim retains blue.",claude-opus-4-7,4434,56
solid_blue_hat_s1,1,"Image 3 lost the blue color present in Images 1 and 2, now showing brown hat on white background.",claude-opus-4-7,4434,51
solid_pink_car_s1,1,"Pink background and pink car body are gone in Image 3, replaced by white background and yellow car.",claude-opus-4-7,4434,48
solid_blue_hat_s2,1,"Image 3 lost the blue color entirely, showing brown hat on white background, while Image 2 retained blue.",claude-opus-4-7,4434,54
solid_blue_hat_s3,1,"Image 3 lost the blue background and hat color, now red on white.",claude-opus-4-7,4434,39
solid_pink_car_s3,1,"Pink background and pink car body are gone in Image 3, replaced with white background and yellow car.",claude-opus-4-7,4434,48
solid_pink_car_s2,1,"Image 3 lost the pink background and pink car color, becoming white background with green car.",claude-opus-4-7,4434,44
solid_blue_hat_s4,1,"Image 3 lost the blue color, now brown, indicating color depended on ref->text path.",claude-opus-4-7,4434,47
solid_pink_chair_s0,1,"Pink background and pink upholstery from Image 2 are completely gone in Image 3, replaced by white and green.",claude-opus-4-7,4434,54
solid_pink_car_s4,1,Pink background and pink car body are gone; Image 3 shows orange car on white background.,claude-opus-4-7,4434,45
solid_blue_mug_s0,1,"Image 3 lost the blue color, now grey/white, while Image 2 was blue.",claude-opus-4-7,4434,46
solid_blue_mug_s1,1,"Image 3 mug is brown, losing the blue color from Image 1 present in Image 2.",claude-opus-4-7,4434,48
solid_pink_chair_s1,1,"Image 3's background is pale pink, much less saturated than Image 1's vivid pink seen in Image 2.",claude-opus-4-7,4434,54
solid_pink_chair_s2,1,"Pink background and pink tint are gone in Image 3, replaced with white background and red chair.",claude-opus-4-7,4434,47
solid_blue_mug_s2,1,"Image 3 lost the blue color, now olive/green, indicating color depended on ref->text path.",claude-opus-4-7,4434,49
solid_blue_mug_s3,1,"Image 3 lost the blue color, becoming green, indicating color depended on ref->text path.",claude-opus-4-7,4434,48
