entity_id,pass,reason,model,input_tokens,output_tokens
add_sun397_s_sauna__sun_bkapdiziedoqyybg_folded_towel,1,"Image 3 introduces wood textures and grain (bench/stool) clearly drawn from the wooden sauna in Image 1, absent in Image 2.",claude-opus-4-7,3491,68
add_sun397_g_garage_indoor__sun_azmseudgfbgvvfds_ladder,1,"Image 3 adopts the indoor industrial setting with walls and floor from Image 1, absent in Image 2's plain white background.",claude-opus-4-7,1373,60
add_sun397_a_atrium_public__sun_byxpmvvdputafklx_trash_bin,1,"Image 3 adopts Image 1's architectural atrium layout, glass/metal roof structure, and crowds of people, none present in Image 2.",claude-opus-4-7,4511,65
add_sun397_a_atrium_public__sun_bisbcefeheabaphm_chair,1,"Image 3 adopts the architectural interior, large window grid, concrete/industrial layout and muted institutional palette from Image 1, absent in Image 2.",claude-opus-4-7,4442,69
add_sun397_a_auditorium__sun_awpjkfkhutefudyu_podium,1,"Image 3 shows an auditorium with red/maroon seats and wood paneling, clearly drawn from Image 1, absent in Image 2's podium scene.",claude-opus-4-7,3047,70
add_sun397_g_gazebo_exterior__sun_amthpepwkrvkrayq_lantern,1,"Image 3 adds warm wood tones and wooden surface texture reminiscent of the gazebo's wood in Image 1, absent from Image 2's painted siding.",claude-opus-4-7,647,72
add_sun397_b_badlands__sun_bjvbeshlnugqsfmx_hot_air_balloon,1,"Image 3's background shows eroded badlands-style cliffs and plateaus resembling Image 1's terrain, replacing Image 2's smoother distant hills.",claude-opus-4-7,3491,71
add_sun397_b_badlands__sun_brxmmryiaucnuoui_suitcase,1,"Image 3 shows outdoor scene with rocks, grass, and pavement reminiscent of Image 1's landscape, absent from Image 2's plain background.",claude-opus-4-7,3491,70
add_sun397_s_shoe_shop__sun_aoceujjpjsqapcxv_stool,0,"Image 3 shows a dining room with wooden table; no shoe store colors, layout, or features from Image 1 are visible.",claude-opus-4-7,959,58
add_sun397_b_badminton_court_indoor__sun_aznjhdovsrejsyqi_duffel_bag,1,"Image 3 shows an indoor sports/community hall setting with people, ceiling lights, and banners echoing Image 1's gymnasium environment, absent from Image 2.",claude-opus-4-7,1625,74
add_sun397_g_general_store_outdoor__sun_astygltganedyumg_wooden_stool,0,"Image 3 shows a stool in a tiled corner, with no shop shelves, jars, racks, or colors from Image 1.",claude-opus-4-7,878,59
add_sun397_g_general_store_indoor__sun_befxalppxzsdirhd_shopping_basket,1,"Image 3 adopts the convenience-store shelving layout and densely packed colorful packaged goods on shelves from Image 1, absent in Image 2.",claude-opus-4-7,4511,68
add_sun397_b_baggage_claim__sun_aoijvmhhockpnlze_suitcase,1,"Image 3 adopts the dim indoor setting and a label/sign element on the bag, echoing Image 1's airport interior and signage absent from Image 2.",claude-opus-4-7,1439,69
add_sun397_b_bakery_shop__sun_bsnvevhpzwsruuja_stool,1,"Image 3 adds an interior setting with wood paneling and tiled floor, reflecting the shop interior context from Image 1.",claude-opus-4-7,647,59
add_sun397_g_gift_shop__sun_afbitifbpzyxxpbg_wall_clock,0,"Image 3 shows a clock on a wall with a doorway, no visible elements from the cluttered store in Image 1.",claude-opus-4-7,812,56
add_sun397_s_shopping_mall_indoor__sun_aihhxqzkpjckcfrk_balloon,1,"Image 3 adds an indoor ceiling with recessed lights, reflecting the indoor mall/atrium setting of Image 1, absent in Image 2.",claude-opus-4-7,1031,70
add_sun397_b_baggage_claim__sun_apixjzygqotnunkr_clock,0,"Image 3 shows an ornate clock scene with no visible suitcases, stacking, or features from Image 1.",claude-opus-4-7,1625,54
add_sun397_s_shopfront__sun_byiinaxrqsemjceh_shopping_basket,1,"Image 3 shows a retail store interior with shelving, signage, and patrons, echoing Image 1's shop layout and warm lighting absent from Image 2.",claude-opus-4-7,3491,70
add_sun397_s_shower__sun_alqtzhszahgkzjzq_towel,1,"Image 3 adds a wall-mounted bar/hanging arrangement echoing the reference's mounted cabinet layout, absent in Image 2.",claude-opus-4-7,530,67
add_sun397_g_gift_shop__sun_bgjqgwpsbclcnhct_wall_clock,0,"Image 3 shows two clocks on a plain wall, with no visible colors, textures, layout, or subjects from the cluttered gift-shop reference.",claude-opus-4-7,4415,67
add_sun397_g_golf_course__sun_arzxjcglyteyydux_wooden_fence,1,"Image 3 adds an open grassy field with trees in the background, mirroring Image 1's golf course landscape, absent in Image 2.",claude-opus-4-7,683,62
add_sun397_s_skatepark__sun_dxynqglxkmrssccr_traffic_cone,1,"Image 3 shows concrete skatepark setting with ramps and ground textures clearly drawn from Image 1, absent in Image 2's plain background.",claude-opus-4-7,1439,67
add_sun397_b_ball_pit__sun_apwykpcojqlhgbjl_stuffed_animal,0,"Image 3 shows teddy bears like Image 2 with no colorful balls, ball pit, or features from Image 1.",claude-opus-4-7,647,57
add_sun397_s_shower__sun_bzkpgcxblstryzgs_towel,1,"Image 3 shows a wider bathroom layout with wall/floor transitions and a shower-like enclosure on the right, echoing Image 1's bathroom scene rather than Image 2's flat tiled wall.",claude-opus-4-7,4415,87
add_sun397_b_balcony_interior__sun_bctdklfiyesgvutt_book,1,"Image 3's cover illustration shows palm trees, sky, and a seated figure in a dress, echoing the beach/coastal scene and woman from Image 1, absent in Image 2.",claude-opus-4-7,4442,78
add_sun397_b_ballroom__sun_adevsgjkzzfqycda_projector_screen,1,"Image 3 adopts the large hall layout with rows of seated audience, stage area, and ceiling lighting reminiscent of Image 1's ballroom, unlike Image 2's small room.",claude-opus-4-7,4433,80
add_sun397_b_bamboo_forest__sun_azlvrznxthityipx_lantern,1,"Image 3 includes bamboo stalks and tropical/palm motifs absent from Image 2, clearly drawn from Image 1's bamboo reference.",claude-opus-4-7,1439,69
add_sun397_h_hangar_indoor__sun_bqlfkyssjgpamwwe_ladder,1,"Image 3 adopts the hangar-like interior with sloped ceiling, beams, and wall layout from Image 1, absent in Image 2.",claude-opus-4-7,707,65
add_sun397_s_ski_slope__sun_bmwppnxiaaqoipqh_wooden_sign,1,"Image 3 adopts the snowy mountain scene with evergreen trees and snow from Image 1, absent in Image 2's wooden fence background.",claude-opus-4-7,4511,66
add_sun397_b_bar__sun_ayybokxbxyumocrh_handbag,1,"Image 3 adds a bar/restaurant-like background with blurred figures and warm tones, echoing Image 1's setting absent from Image 2.",claude-opus-4-7,746,66
add_sun397_b_barn__sun_apdqlccunxlxcgws_wooden_chair,1,"Image 3 shows an outdoor ground/dirt setting and warm earthy tones reminiscent of Image 1's outdoor stone courtyard, absent in Image 2's white studio background.",claude-opus-4-7,614,81
