entity_id,pass,reason,model,input_tokens,output_tokens
solid_blue_car_s4__solid_purple_car_s0,0,"Image 4 remains purple like Image 2, not blue like Image 1.",claude-opus-4-7,5876,42
solid_purple_couch_s0__solid_red_couch_s1,0,"Image 4 sofa remains red like Image 2, not purple like Image 1.",claude-opus-4-7,5876,44
solid_blue_car_s0__solid_red_car_s1,0,"Image 4 remains red like Image 2, not blue like Image 1.",claude-opus-4-7,5876,41
solid_purple_couch_s4__solid_pink_couch_s0,0,"Image 4 sofa remains pink like Image 2, not purple like Image 1.",claude-opus-4-7,5876,45
solid_purple_couch_s1__solid_yellow_couch_s2,0,"Image 4 sofa remains yellow like Image 2, not purple like Image 1.",claude-opus-4-7,5876,46
solid_purple_couch_s3__solid_orange_couch_s4,0,"Image 4 sofa remains orange like Image 2, not purple like Image 1.",claude-opus-4-7,5876,45
solid_purple_couch_s2__solid_green_couch_s3,0,"Image 4 sofa remains green like Image 2, not purple like Image 1.",claude-opus-4-7,5876,44
solid_brown_car_s2__solid_blue_car_s3,0,"Image 4 remains predominantly blue like Image 2, not brown like Image 1.",claude-opus-4-7,5876,46
solid_brown_car_s3__solid_green_car_s4,0,"Image 4 remains green like Image 2, not brown like Image 1.",claude-opus-4-7,5876,41
solid_blue_car_s1__solid_yellow_car_s2,0,"Image 4 remains yellow like Image 2, not blue like Image 1.",claude-opus-4-7,5876,43
solid_brown_car_s2__solid_red_car_s3,0,"Image 4 remains red like Image 2, not brown like Image 1.",claude-opus-4-7,5876,41
solid_brown_car_s0__solid_pink_car_s1,0,"Image 4 remains pink like Image 2, not brown like Image 1.",claude-opus-4-7,5876,42
solid_brown_car_s4__solid_orange_car_s0,0,"Image 4 remains orange like Image 2, not brown like Image 1.",claude-opus-4-7,5876,42
solid_brown_car_s1__solid_purple_car_s2,0,"Image 4 remains purple like Image 2, not brown like Image 1.",claude-opus-4-7,5876,42
solid_brown_car_s3__solid_yellow_car_s4,0,"Image 4 remains yellow like Image 2, not brown like Image 1.",claude-opus-4-7,5876,43
solid_red_couch_s4__solid_green_couch_s0,0,"Image 4 sofa remains green like Image 2, not red like Image 1.",claude-opus-4-7,5876,43
solid_red_couch_s0__solid_orange_couch_s1,0,"Image 4 sofa remains orange like Image 2, not red like Image 1.",claude-opus-4-7,5876,44
solid_red_couch_s2__solid_blue_couch_s3,0,"Image 4 sofa remains blue like Image 2, not red like Image 1.",claude-opus-4-7,5876,44
solid_red_couch_s3__solid_brown_couch_s4,0,"Image 4 sofa remains brown like Image 2, not red like Image 1.",claude-opus-4-7,5876,44
solid_red_couch_s1__solid_pink_couch_s2,0,"Image 4 sofa remains pink like Image 2, not red like Image 1.",claude-opus-4-7,5876,44
solid_red_couch_s3__solid_yellow_couch_s4,0,"Image 4 remains yellow like Image 2, not red like Image 1.",claude-opus-4-7,5876,42
solid_green_car_s0__solid_brown_car_s1,0,"Image 4 remains brown like Image 2, not green like Image 1.",claude-opus-4-7,5876,41
solid_green_car_s1__solid_orange_car_s2,0,"Image 4 remains orange like Image 2, not green like Image 1.",claude-opus-4-7,5876,41
solid_green_car_s4__solid_blue_car_s0,0,"Image 4 remains blue like Image 2, not green like Image 1.",claude-opus-4-7,5876,41
solid_red_couch_s2__solid_purple_couch_s3,0,"Image 4 remains purple like Image 2, not red like Image 1.",claude-opus-4-7,5876,41
solid_yellow_couch_s4__solid_blue_couch_s0,0,"Image 4 remains blue like Image 2, not yellow like Image 1.",claude-opus-4-7,5876,43
solid_green_car_s2__solid_pink_car_s3,0,"Image 4 remains pink like Image 2, not green like Image 1.",claude-opus-4-7,5876,41
solid_yellow_couch_s0__solid_brown_couch_s1,0,"Image 4 sofa remains brown like Image 2, not yellow like Image 1.",claude-opus-4-7,5876,46
solid_green_car_s3__solid_purple_car_s4,0,"Image 4 remains purple like Image 2, not green like Image 1.",claude-opus-4-7,5876,41
solid_yellow_couch_s1__solid_green_couch_s2,0,"Image 4 sofa remains green like Image 2, not yellow like Image 1.",claude-opus-4-7,5876,45
solid_green_car_s4__solid_red_car_s0,0,"Image 4 remains red like Image 2, not green like Image 1.",claude-opus-4-7,5876,40
solid_yellow_couch_s2__solid_orange_couch_s3,0,"Image 4 sofa remains orange like Image 2, not yellow like Image 1.",claude-opus-4-7,5876,46
solid_yellow_couch_s4__solid_purple_couch_s0,0,"Image 4 sofa remains purple like Image 2, not yellow like Image 1.",claude-opus-4-7,5876,46
solid_green_car_s0__solid_yellow_car_s1,0,"Image 4 remains yellow like Image 2, not green like Image 1.",claude-opus-4-7,5876,42
solid_yellow_couch_s3__solid_pink_couch_s4,0,"Image 4 sofa remains pink like Image 2, not yellow like Image 1.",claude-opus-4-7,5876,46
solid_orange_car_s2__solid_brown_car_s3,0,"Image 4 still shows brown background matching Image 2, not orange of Image 1.",claude-opus-4-7,5876,45
solid_blue_hat_s0__solid_brown_hat_s1,0,"Image 4 remains brown like Image 2, not blue like Image 1.",claude-opus-4-7,5876,42
solid_orange_car_s3__solid_green_car_s4,0,"Image 4 remains green like Image 2, not orange like Image 1.",claude-opus-4-7,5876,41
solid_yellow_couch_s0__solid_red_couch_s1,0,"Image 4 sofa remains red like Image 2, not yellow like Image 1.",claude-opus-4-7,5876,45
solid_orange_car_s1__solid_blue_car_s2,0,"Image 4 remains blue like Image 2, not orange like Image 1.",claude-opus-4-7,5876,42
solid_orange_car_s4__solid_pink_car_s0,0,"Image 4 remains pink like Image 2, not orange like Image 1.",claude-opus-4-7,5876,42
solid_orange_car_s0__solid_purple_car_s1,0,"Image 4 remains purple like Image 2, not orange like Image 1.",claude-opus-4-7,5876,42
solid_blue_hat_s3__solid_pink_hat_s4,0,"Image 4 remains pink like Image 2, not blue like Image 1.",claude-opus-4-7,5876,42
solid_blue_hat_s2__solid_orange_hat_s3,0,"Image 4 remains orange like Image 2, not blue like Image 1.",claude-opus-4-7,5876,42
solid_orange_car_s2__solid_yellow_car_s3,0,"Image 4 car is red, not orange like Image 1; background remains yellow like Image 2.",claude-opus-4-7,5876,48
solid_blue_hat_s1__solid_green_hat_s2,0,"Image 4 remains green like Image 2, not blue like Image 1.",claude-opus-4-7,5876,41
solid_orange_car_s1__solid_red_car_s2,0,"Image 4 remains red like Image 2, not orange like Image 1.",claude-opus-4-7,5876,41
solid_blue_hat_s4__solid_purple_hat_s0,0,"Image 4 remains purple like Image 2, not blue like Image 1.",claude-opus-4-7,5876,42
solid_pink_car_s3__solid_blue_car_s4,1,"Image 4's car is pink matching Image 1, while Image 3's car is blue matching Image 2.",claude-opus-4-7,5876,51
solid_blue_hat_s0__solid_red_hat_s1,0,"Image 4 remains red like Image 2, not blue like Image 1.",claude-opus-4-7,5876,41
solid_pink_car_s4__solid_brown_car_s0,0,"Image 4 remains brown like Image 2, not pink like Image 1.",claude-opus-4-7,5876,42
solid_blue_hat_s1__solid_yellow_hat_s2,0,"Image 4 remains yellow like Image 2, not blue like Image 1.",claude-opus-4-7,5876,43
solid_brown_hat_s2__solid_blue_hat_s3,0,"Image 4 remains predominantly blue like Image 2, not brown like Image 1.",claude-opus-4-7,5876,46
solid_brown_hat_s3__solid_green_hat_s4,0,"Image 4 remains green like Image 2, not brown like Image 1.",claude-opus-4-7,5876,41
solid_brown_hat_s4__solid_orange_hat_s0,0,"Image 4 hat remains orange like Image 2, not brown like Image 1.",claude-opus-4-7,5876,44
solid_pink_car_s2__solid_purple_car_s3,0,"Image 4 background remains purple like Image 2, not pink like Image 1.",claude-opus-4-7,5876,43
solid_pink_car_s3__solid_red_car_s4,0,"Image 4 remains red like Image 2, not pink like Image 1.",claude-opus-4-7,5876,41
