entity_id,pass,reason,model,input_tokens,output_tokens
customize_property_style_free_sparrow_feeder_seeds_s1,1,Image 3 retains a cartoon/illustrated style with bold outlines and flat shading similar to Image 1.,claude-opus-4-7,4102,55
customize_property_style_free_sparrow_branch_perch_s1,0,"Image 3 remains photorealistic like Image 2, with no cartoon style from Image 1.",claude-opus-4-7,4102,49
customize_property_style_free_sparrow_feeder_seeds_s2,0,"Image 3 is photorealistic, lacking the cartoon style of Image 1 seen in Image 2.",claude-opus-4-7,4102,53
customize_property_style_free_sparrow_branch_perch_s2,0,"Image 3 remains photorealistic like Image 2, with no cartoon styling from Image 1.",claude-opus-4-7,4102,50
customize_property_style_free_sparrow_branch_perch_s4,0,"Image 3 remains photorealistic like Image 2, showing no cartoon style from Image 1.",claude-opus-4-7,4102,50
customize_property_style_free_sparrow_snow_fence_s3,0,"Image 3 remains photorealistic like Image 2, with no cartoon styling resembling Image 1.",claude-opus-4-7,4102,52
customize_property_style_free_sparrow_branch_perch_s3,0,"Image 3 remains photorealistic like Image 2, with no cartoon style from Image 1.",claude-opus-4-7,4102,49
customize_property_style_free_sparrow_snow_fence_s4,0,Image 3 is fully photorealistic with no cartoon style remaining; style was lost when ref->image was blocked.,claude-opus-4-7,4102,56
customize_property_style_free_sparrow_feeder_seeds_s0,0,"Image 3 appears photorealistic, losing the cartoon style present in Image 2.",claude-opus-4-7,4102,46
customize_property_style_free_sparrow_branch_perch_s0,0,"Image 3 remains photorealistic like Image 2, with no cartoon styling from Image 1.",claude-opus-4-7,4102,50
customize_property_style_free_sparrow_feeder_seeds_s3,0,"Image 3 looks photorealistic throughout, lacking the cartoon style present in Image 2.",claude-opus-4-7,4102,50
customize_property_style_free_sparrow_grass_hop_s2,1,Image 3 retains cartoon style with bold outlines and flat shading similar to Image 2.,claude-opus-4-7,4102,49
customize_property_style_free_sparrow_feeder_seeds_s4,0,"Image 3 looks photorealistic, lacking the cartoon outlines and flat coloring seen in Images 1 and 2.",claude-opus-4-7,4102,60
customize_property_style_free_sparrow_grass_hop_s1,0,"Image 3 looks photorealistic with no cartoon outlines, unlike Image 2 which retained cartoon styling.",claude-opus-4-7,4102,58
customize_property_style_free_sparrow_bird_bath_s0,0,"Image 3 remains photorealistic like Image 2, not cartoon-styled like Image 1.",claude-opus-4-7,4102,50
customize_property_style_free_sparrow_grass_hop_s3,0,"Image 3 is photorealistic, losing the cartoon style of Image 1/2.",claude-opus-4-7,4102,46
customize_property_style_free_sparrow_bird_bath_s1,0,"Image 3 is fully photorealistic with no cartoon styling, unlike Image 2 which retained cartoon elements.",claude-opus-4-7,4102,58
customize_property_style_free_sparrow_bird_bath_s2,0,"Image 3 remains photorealistic like Image 2, no cartoon style present.",claude-opus-4-7,4102,44
customize_property_style_free_sparrow_grass_hop_s4,0,"Image 3 is photorealistic, losing the cartoon style of Image 1.",claude-opus-4-7,4102,44
customize_property_style_free_sparrow_snow_fence_s0,0,Image 3 is photorealistic with no cartoon outlines or flat shading; style was lost when ref->image was blocked.,claude-opus-4-7,4102,58
customize_property_style_free_sparrow_grass_hop_s0,0,"Image 3 appears photorealistic with no cartoon outlines or flat shading, unlike Image 2's cel-shaded style.",claude-opus-4-7,4102,61
customize_property_style_free_sparrow_snow_fence_s1,0,Image 3 appears photorealistic with no cartoon outlines or flat coloring; style was lost when ref->image was blocked.,claude-opus-4-7,4102,60
customize_property_style_free_sparrow_bird_bath_s3,0,"Image 3 remains photorealistic like Image 2, with no cartoon styling resembling Image 1.",claude-opus-4-7,4102,52
customize_property_style_free_sparrow_bird_bath_s4,0,Image 3 is photorealistic with no cartoon styling; blocking ref->image removed the style.,claude-opus-4-7,4102,50
customize_property_style_free_sparrow_snow_fence_s2,0,"Image 3 looks photorealistic, lacking the cartoon outlines and flat shading seen in Image 2.",claude-opus-4-7,4102,55
customize_property_style_free_cartoon_boy_treehouse_s1,1,Image 3 retains the same cartoon style as Image 2 and Image 1.,claude-opus-4-7,3319,44
customize_property_style_free_cartoon_boy_video_game_s1,1,Image 3 retains the same cartoon style as Images 1 and 2.,claude-opus-4-7,3319,42
customize_property_style_free_cartoon_boy_video_game_s2,1,"Image 3 retains a cartoon/illustrated style similar to Image 1, even without ref->image attention.",claude-opus-4-7,3319,53
customize_property_style_free_cartoon_boy_video_game_s0,1,Image 3 retains the same cartoon/illustrated style as Images 1 and 2.,claude-opus-4-7,3319,47
customize_property_style_free_cartoon_boy_video_game_s4,1,Image 3 retains a cartoon/illustrated style similar to Image 1 throughout.,claude-opus-4-7,3319,48
customize_property_style_free_cartoon_boy_treehouse_s4,1,"Image 3 retains a cartoon illustration style similar to Image 1, with bold outlines and flat colors.",claude-opus-4-7,3319,54
customize_property_style_free_cartoon_boy_video_game_s3,1,Image 3 retains a cartoon/illustrated style similar to Image 1 throughout.,claude-opus-4-7,3319,48
customize_property_style_free_cartoon_boy_treehouse_s2,1,Image 3 retains the same cartoon style as Image 2 and matches Image 1's illustrative look.,claude-opus-4-7,3319,52
customize_property_style_free_cartoon_boy_treehouse_s3,1,Image 3 retains the same cartoon style as Image 2 and matches Image 1's illustrated look.,claude-opus-4-7,3319,52
customize_property_style_free_cartoon_boy_water_balloon_s0,1,Image 3 retains the same cartoon style as Image 1 and Image 2.,claude-opus-4-7,3319,44
customize_property_style_free_cartoon_boy_treehouse_s0,1,Image 3 retains the same cartoon style as Images 1 and 2.,claude-opus-4-7,3319,42
customize_property_style_free_cartoon_boy_water_balloon_s1,1,Image 3 retains the same cartoon style as Image 2 and Image 1.,claude-opus-4-7,3319,44
customize_property_style_free_cartoon_boy_water_balloon_s3,1,Image 3 retains the same cartoon style as Images 1 and 2.,claude-opus-4-7,3319,42
customize_property_style_free_dog_chasing_ball_s2,1,Image 3 retains the same cartoon style with bold outlines and flat colors similar to Image 1.,claude-opus-4-7,1503,51
customize_property_style_free_dog_digging_sand_s0,1,"Image 3 retains the same cartoon style as Image 1 and Image 2, with bold outlines and flat colors.",claude-opus-4-7,1503,56
customize_property_style_free_dog_digging_sand_s1,1,"Image 3 retains a cartoon style similar to Image 1, with bold outlines and flat colors.",claude-opus-4-7,1503,51
customize_property_style_free_dog_chasing_ball_s0,1,"Image 3 retains a cartoon style similar to Image 1, with bold outlines and flat colors throughout.",claude-opus-4-7,1503,54
customize_property_style_free_cartoon_boy_water_balloon_s4,1,Image 3 retains the same cartoon style as Images 1 and 2.,claude-opus-4-7,3319,42
customize_property_style_free_dog_chasing_ball_s4,1,"Image 3 retains the same cartoon style with bold outlines and flat colors, matching Image 1's style.",claude-opus-4-7,1503,53
customize_property_style_free_dog_chasing_ball_s1,1,Image 3 retains the cartoon style with bold outlines and flat colors similar to Image 1.,claude-opus-4-7,1503,50
customize_property_style_free_cartoon_boy_water_balloon_s2,1,Image 3 retains the same cartoon style as Image 1 and Image 2.,claude-opus-4-7,3319,44
customize_property_style_free_dog_chasing_ball_s3,1,Image 3 retains cartoon style similar to Image 1 in both subject and background.,claude-opus-4-7,1503,45
customize_property_style_free_dog_digging_sand_s2,1,"Image 3 retains a cartoon style similar to Image 1, though character design differs.",claude-opus-4-7,1503,45
customize_property_style_free_dog_digging_sand_s4,1,"Image 3 retains cartoon style with bold outlines and flat colors, similar to Image 1.",claude-opus-4-7,1503,50
customize_property_style_free_dog_digging_sand_s3,1,"Image 3 retains a clear cartoon style similar to Image 1, despite differences in character details.",claude-opus-4-7,1503,49
customize_property_style_free_dog_frisbee_s2,1,Image 3 retains the same cartoon style as Image 1 and Image 2.,claude-opus-4-7,1503,44
customize_property_style_free_dog_frisbee_s4,1,"Image 3 retains a cartoon style similar to Image 1, with bold outlines and flat colors.",claude-opus-4-7,1503,51
customize_property_style_free_dog_frisbee_s0,1,"Image 3 retains the same cartoon style as Images 1 and 2, with bold outlines and flat colors.",claude-opus-4-7,1503,54
customize_property_style_free_dog_sleeping_porch_s1,1,"Image 3 retains a cartoon/illustrated style similar to Image 1, though slightly more painterly.",claude-opus-4-7,1503,53
customize_property_style_free_dog_sleeping_porch_s2,1,Image 3 retains cartoon style with bold outlines and flat shading similar to Image 1.,claude-opus-4-7,1503,49
customize_property_style_free_dog_frisbee_s3,1,"Image 3 retains the same cartoon style as Image 1 and 2, with bold outlines and flat colors.",claude-opus-4-7,1503,54
customize_property_style_free_dog_swimming_lake_s0,1,"Image 3 retains the same cartoon vector style as Image 1 and 2, in both subject and background.",claude-opus-4-7,1503,51
customize_property_style_free_dog_sleeping_porch_s3,0,"Image 3 looks more realistic/painterly, losing the bold cartoon outlines and flat shading seen in Images 1 and 2.",claude-opus-4-7,1503,63
customize_property_style_free_dog_frisbee_s1,1,Image 3 retains the cartoon style with bold outlines and flat colors similar to Image 1.,claude-opus-4-7,1503,50
customize_property_style_free_dog_swimming_lake_s2,1,Image 3 retains the same cartoon style with bold outlines and flat shading matching Image 1.,claude-opus-4-7,1503,50
customize_property_style_free_dog_sleeping_porch_s0,1,Image 3 retains the cartoon/illustrated style similar to Image 1 and Image 2.,claude-opus-4-7,1503,50
customize_property_style_free_dog_swimming_lake_s4,1,"Image 3 retains a cartoon style similar to Image 1, with bold outlines and flat shading on subject and background.",claude-opus-4-7,1503,56
customize_property_style_free_dog_swimming_lake_s1,1,Image 3 retains a cartoon/illustrated style similar to Image 1 throughout subject and background.,claude-opus-4-7,1503,52
customize_property_style_free_doll_cafe_friends_s3,0,Image 3 shifts to a realistic illustration style; the cartoon doll style from Image 1 is largely lost.,claude-opus-4-7,3467,56
customize_property_style_free_doll_cafe_friends_s1,0,Image 3 appears photorealistic with no cartoon/doll style elements; the stylized character from Image 1 is absent.,claude-opus-4-7,3467,58
customize_property_style_free_doll_fashion_show_s1,0,"Image 3 looks photorealistic, not cartoon-like; the doll style from Image 1 is lost.",claude-opus-4-7,3467,53
customize_property_style_free_doll_fashion_show_s2,1,"Image 3 retains a cartoon/stylized character look similar to Image 1, despite different outfit and hair.",claude-opus-4-7,3467,54
customize_property_style_free_dog_sleeping_porch_s4,1,"Image 3 retains cartoon/illustrated style throughout subject and background, similar to Image 1.",claude-opus-4-7,1503,51
customize_property_style_free_dog_swimming_lake_s3,1,"Image 3 retains cartoon style in both dog and background, similar to Image 1.",claude-opus-4-7,1503,45
customize_property_style_free_doll_cafe_friends_s4,1,Image 3 retains the same cartoon/stylized look as Image 2 and Image 1.,claude-opus-4-7,3467,48
customize_property_style_free_doll_cafe_friends_s0,1,"Image 3 retains a cartoon/3D-rendered stylized look similar to Image 1, especially the girl and overall illustration style.",claude-opus-4-7,3467,62
customize_property_style_free_doll_fashion_show_s0,1,Image 3 retains a cartoon/stylized look in the subject similar to Image 1's doll style.,claude-opus-4-7,3467,51
customize_property_style_free_doll_mirror_s0,1,"Image 3 retains the cartoon/3D-doll style similar to Image 1, with big eyes, floral dress, and stylized rendering.",claude-opus-4-7,3467,64
customize_property_style_free_doll_fashion_show_s3,0,"Image 3 appears photorealistic with a real girl, losing the cartoon doll style of Image 1.",claude-opus-4-7,3467,52
customize_property_style_free_doll_mirror_s2,1,Image 3 retains the same cartoon/doll style as Image 1 and Image 2.,claude-opus-4-7,3467,47
customize_property_style_free_doll_mirror_s1,1,"Image 3 retains the cartoon doll style similar to Image 1, with similar floral dress, hat, and chibi proportions.",claude-opus-4-7,3467,60
customize_property_style_free_doll_fashion_show_s4,1,Image 3 retains the cartoon/doll style with large eyes and stylized features similar to Image 1.,claude-opus-4-7,3467,52
customize_property_style_free_doll_cafe_friends_s2,1,Image 3 retains the same cartoon/illustrated style as Image 1 and Image 2.,claude-opus-4-7,3467,49
customize_property_style_free_doll_photoshoot_park_s0,1,Image 3 retains the same 3D cartoon doll style as Images 1 and 2.,claude-opus-4-7,3467,47
customize_property_style_free_doll_mirror_s4,0,"Image 3 shifts to a more realistic rendering, losing the doll-like cartoon style seen in Images 1 and 2.",claude-opus-4-7,3467,60
customize_property_style_free_doll_photoshoot_park_s1,1,Image 3 retains the same 3D cartoon style as Image 1 and Image 2.,claude-opus-4-7,3467,47
customize_property_style_free_doll_photoshoot_park_s2,1,"Image 3 retains a cartoon/3D-rendered style similar to Image 1, despite different character details.",claude-opus-4-7,3467,52
customize_property_style_free_doll_photoshoot_park_s4,1,"Image 3 retains a cartoon/3D-stylized look similar to the reference, with stylized character and painterly background.",claude-opus-4-7,3467,56
customize_property_style_free_doll_shopping_s1,1,"Image 3 retains a cartoon/stylized look similar to Image 1, despite differences in hair and hat.",claude-opus-4-7,3467,54
customize_property_style_free_doll_shopping_s0,1,"Image 3 retains the cartoon/doll style of the reference, just with different outfit details.",claude-opus-4-7,3467,47
customize_property_style_free_doll_mirror_s3,1,"Image 3 retains the cartoon/doll style similar to Image 1, with stylized features and outfit.",claude-opus-4-7,3467,52
customize_property_style_free_doll_shopping_s3,1,"Image 3 retains the cartoon/3D doll style similar to Image 1, both in subject and overall rendering.",claude-opus-4-7,3467,55
customize_property_style_free_elephant_calf_meadow_s2,1,"Image 3 retains cartoon style similar to Image 1, though colors changed.",claude-opus-4-7,1503,44
customize_property_style_free_doll_shopping_s2,1,Image 3 retains the same cartoon/doll style as Image 1 and Image 2.,claude-opus-4-7,3467,47
customize_property_style_free_doll_shopping_s4,1,"Image 3 retains the cartoon/stylized look in both subject and background, similar to Image 1's style.",claude-opus-4-7,3467,52
