task_id,cell,pass,reason,model,input_tokens,output_tokens
customize_property_style_free_alice_in_wonderland_pond_reflection_s0,baseline_4step,1,"The girl's dress has illustrated linework/shading while her face is photorealistic, showing hybrid stylization.",claude-sonnet-5,1650,52
customize_property_style_free_alice_in_wonderland_pond_reflection_s1,baseline_4step,1,"The girl is rendered as a line-art illustration with cross-hatching, matching stylized character rendering.",claude-sonnet-5,1650,49
customize_property_style_free_alice_in_wonderland_pond_reflection_s4,baseline_4step,1,"Girl is rendered as a stylized ink illustration, not a real photo.",claude-sonnet-5,1650,40
customize_property_style_free_anime_girl_bookstore_s3,baseline_4step,1,"Main subject is rendered in anime/cartoon style, consistent with stylized illustration.",claude-sonnet-5,2526,45
customize_property_style_free_anime_girl_coffee_shop_s0,baseline_4step,1,"Main subject is rendered in anime/illustrated style, matching stylized reference.",claude-sonnet-5,2526,42
customize_property_style_free_anime_girl_coffee_shop_s1,baseline_4step,1,Main subject remains anime-style illustrated character with stylized rendering.,claude-sonnet-5,2526,39
customize_property_style_free_anime_girl_coffee_shop_s2,baseline_4step,1,"Main subject is anime-style illustration, matching stylized rendering criteria.",claude-sonnet-5,2526,41
customize_property_style_free_anime_girl_studying_tablet_s3,baseline_4step,1,Main subject remains anime-style illustrated character with green eyes and blue hair.,claude-sonnet-5,2526,42
customize_property_style_free_bald_man_grocery_walk_s0,baseline_4step,1,Character retains cartoon illustration style with bold outlines despite photographic background.,claude-sonnet-5,1650,41
customize_property_style_free_bald_man_grocery_walk_s1,baseline_4step,1,"Main subject remains a cartoon-style illustrated character, matching stylized rendering.",claude-sonnet-5,1650,44
customize_property_style_free_boy_pixel_arcade_s2,baseline_4step,1,"Main subject is a cartoon-style child matching Image 1's illustrated look, not photorealistic.",claude-sonnet-5,1650,49
customize_property_style_free_boy_pixel_bike_alley_s1,baseline_4step,1,"Main subject boy remains cartoon-style with bold outlines and flat colors, matching illustrated style.",claude-sonnet-5,1650,50
customize_property_style_free_dog_digging_sand_s1,baseline_4step,1,"Dog remains cartoon-style with bold outlines and flat colors, matching stylized reference.",claude-sonnet-5,1650,47
customize_property_style_free_dog_sleeping_porch_s1,baseline_4step,1,"Dog subject remains cartoon-illustrated with bold outlines, not photorealistic.",claude-sonnet-5,1650,46
customize_property_style_free_doll_cafe_friends_s0,baseline_4step,1,"The girl retains cartoon-like features, hair, eyes, and dress matching the stylized reference.",claude-sonnet-5,2218,48
customize_property_style_free_doll_cafe_friends_s1,baseline_4step,1,The girl retains stylized cartoon rendering with large eyes and toy-like features amid photographic background.,claude-sonnet-5,2218,49
customize_property_style_free_doll_cafe_friends_s2,baseline_4step,1,"The girl retains cartoon-style rendering with stylized eyes, hair, and outfit matching Image 1.",claude-sonnet-5,2218,52
customize_property_style_free_doll_cafe_friends_s3,baseline_4step,1,The girl retains cartoon 3D-rendered stylization matching the reference character.,claude-sonnet-5,2218,42
customize_property_style_free_doll_cafe_friends_s4,baseline_4step,1,"Main girl subject remains cartoon-style with stylized proportions, hat, and dress.",claude-sonnet-5,2218,45
customize_property_style_free_doll_fashion_show_s0,baseline_4step,1,Main subject remains a stylized cartoon doll-like character with exaggerated eyes.,claude-sonnet-5,2218,45
customize_property_style_free_doll_fashion_show_s1,baseline_4step,1,"Main subject remains a stylized toy-like doll character, not a real photographed person.",claude-sonnet-5,2218,42
customize_property_style_free_doll_fashion_show_s2,baseline_4step,1,Main subject remains a stylized 3D toy-like doll with cartoon eyes and features.,claude-sonnet-5,2218,46
customize_property_style_free_doll_fashion_show_s3,baseline_4step,1,"Main subject remains a stylized 3D toy-like doll character, matching reference style.",claude-sonnet-5,2218,43
customize_property_style_free_doll_fashion_show_s4,baseline_4step,1,Main subject remains a stylized doll-like character with cartoonish eyes and toy rendering.,claude-sonnet-5,2218,47
customize_property_style_free_doll_mirror_s1,baseline_4step,1,"Main subject is a stylized doll-like cartoon girl, not a real photographed person.",claude-sonnet-5,2218,44
customize_property_style_free_doll_mirror_s2,baseline_4step,1,"Main subject is a stylized 3D-rendered doll-like girl, not a real photo.",claude-sonnet-5,2218,45
customize_property_style_free_doll_mirror_s3,baseline_4step,1,"Main subject remains a stylized 3D-toy-like cartoon girl, not a real photo.",claude-sonnet-5,2218,47
customize_property_style_free_doll_photoshoot_park_s0,baseline_4step,1,"Main subject remains a stylized 3D cartoon-like character, not photorealistic.",claude-sonnet-5,2218,44
customize_property_style_free_doll_photoshoot_park_s1,baseline_4step,1,Main subject remains a stylized 3D cartoon character with big eyes and toy-like rendering.,claude-sonnet-5,2218,48
