entity_id,pass,reason,model,input_tokens,output_tokens
remove_sun397_t_toyshop__sun_abrqudfefjkmnilx_price_tag,1,Image 3 shows a Gundam-like mecha figure with helmet shape and armored body clearly derived from Image 1's robot.,claude-opus-4-7,1139,61
remove_sun397_b_basketball_court_outdoor__sun_acdbtdnbocdqdhyc_basketball_hoop,1,"Image 3 shows a fenced sports field/court area with buildings, clearly drawing layout and chain-link fence elements from Image 1, absent in Image 2.",claude-opus-4-7,707,71
remove_sun397_b_bathroom__sun_ajlawzvmubibwbpy_vase,1,"Image 3 shows a bathroom with white tiles, similar to Image 1's bathroom setting, whereas Image 2 is blank.",claude-opus-4-7,4271,63
remove_sun397_b_basketball_court_outdoor__sun_acqkwacbjykcbsqi_hat,1,"Image 3 includes a basketball hoop and blue sky, distinctive subject features clearly drawn from Image 1's basketball court scene.",claude-opus-4-7,4415,64
remove_sun397_i_ice_skating_rink_outdoor__sun_bpdnecmppyvmqvkd_tent,1,"Image 3 shows snow, evergreen trees, and structural elements clearly derived from the snowy stadium scene in Image 1, absent from blank Image 2.",claude-opus-4-7,3491,71
remove_sun397_t_tower__sun_brjqycprfovulzfe_billboard,1,"Image 3 shows blue sky and metal scaffolding/framework structure echoing the reference building's sky and lattice framework, absent in Image 2.",claude-opus-4-7,3866,67
remove_sun397_b_bathroom__sun_adsdopqyndjsbuve_tissue_box,1,"Image 3 adopts the large mirror and tiled wall layout from Image 1, absent in Image 2.",claude-opus-4-7,4415,53
remove_sun397_i_ice_skating_rink_outdoor__sun_bstjnjkoyimbpifx_statue,0,"Image 3 shows a paved courtyard with people and flowers, sharing no colors, layout, or features with Image 1's nighttime ice rink scene.",claude-opus-4-7,4415,68
remove_sun397_i_ice_skating_rink_indoor__sun_bufxlqirntjdtcoo_traffic_cone,1,"Image 3 shows an ice rink interior with rink boards, glass, ceiling structure, and people, all clearly drawn from Image 1's hockey arena setting absent in Image 2.",claude-opus-4-7,4415,79
remove_sun397_t_tower__sun_allvkykkivgfvupr_antenna,1,"Image 3 shows a tall ornate building with tower-like roof and arched windows against cloudy sky, echoing Image 1's church tower architecture absent from blank Image 2.",claude-opus-4-7,4289,76
remove_sun397_t_toyshop__sun_aocapofqgbctyzlk_vase,1,"Image 3 shows a wooden grid structure resembling the cabinet's shelving layout from Image 1, absent in blank Image 2.",claude-opus-4-7,1139,63
remove_sun397_i_industrial_area__sun_abmkbohtosuqyetc_ladder,0,Image 3 shows a white curved object unrelated to the industrial plant in Image 1.,claude-opus-4-7,683,47
remove_sun397_b_batters_box__sun_apjqxlxtcmccwywy_helmet,0,Image 3 shows wooden planks with no visible features from the softball player reference.,claude-opus-4-7,695,43
remove_sun397_i_igloo__sun_abdagkpekttzgeks_flag,1,"Image 3 shows snowy mountain terrain and lighting clearly drawn from Image 1, absent from blank Image 2.",claude-opus-4-7,4415,60
remove_sun397_t_track_outdoor__sun_arnoevzwpvwbanzo_hurdle,1,"Image 3 shows people in a stadium/track setting with stands, drawing layout and subject elements from Image 1 absent in Image 2.",claude-opus-4-7,878,63
remove_sun397_t_train_railway__sun_asrghscbrlnciaxi_freight_car,1,"Image 3 shows train-like striped patterns with red/cream colors echoing the railcar in Image 1, absent from blank Image 2.",claude-opus-4-7,683,63
remove_sun397_i_industrial_area__sun_aovfkscbuvtjiznx_ladder,0,"Image 3 shows palatial buildings with domes, unrelated to Image 1's industrial refinery towers; no visible features transferred.",claude-opus-4-7,593,62
remove_sun397_b_batters_box__sun_aodzodkiziileetm_helmet,1,"Image 3 shows a baseball field with home plate and dirt, clearly drawn from Image 1's baseball scene, absent in Image 2.",claude-opus-4-7,1439,65
remove_sun397_t_track_outdoor__sun_atroalewzndoelrf_fence,1,"Image 3 shows trees, grass, pavement and sky elements clearly drawn from Image 1's outdoor scene, absent in blank Image 2.",claude-opus-4-7,3323,68
remove_sun397_i_igloo__sun_aibxkkpcbkjwvdgp_wooden_board,1,"Image 3 shows white/grey snow-like textures and blocky forms reminiscent of the snow structure in Image 1, absent from the plain wood plank in Image 2.",claude-opus-4-7,3785,74
remove_sun397_b_bazaar_indoor__sun_burqlvazbhacnmdh_lantern,0,"Image 3 shows a puppy unrelated to the bazaar scene; no colors, textures, or features from Image 1 visible.",claude-opus-4-7,671,60
remove_sun397_b_bayou__sun_ankyiowlphyxgwan_fallen_branch,1,"Image 3 shows alligator-like scaly bodies and a water/vegetation environment clearly drawn from Image 1, absent from Image 2.",claude-opus-4-7,4415,66
remove_sun397_i_inn_outdoor__sun_awhxmuwsdorwwrzb_street_sign,0,Image 3 shows tables/benches unrelated to the building in Image 1; no visible features transferred.,claude-opus-4-7,593,51
remove_sun397_t_train_station_platform__sun_avojydklryofuaek_banner,1,"Image 3 shows trains at a station, matching Image 1's subject, while Image 2 is blank.",claude-opus-4-7,1031,51
remove_sun397_b_bayou__sun_axigfdtyybrtaftq_boat,0,"Image 3 shows a blank panel with no palms, water, boat, or colors from Image 1.",claude-opus-4-7,4511,49
remove_sun397_i_islet__sun_aukazpjtihptzwld_cloud,0,"Image 3 shows red lines and beige tones, none matching the volcanic island, blue sea, or green vegetation of Image 1.",claude-opus-4-7,599,61
remove_sun397_b_bazaar_indoor__sun_buyjcmqmsxiatjtg_ladder,1,"Image 3 shows a stone archway echoing the vaulted arch architecture of Image 1, absent from the blank Image 2.",claude-opus-4-7,647,60
remove_sun397_t_train_railway__sun_bpgbvnzaqgwajwrj_road_sign,1,"Image 3 shows railroad tracks, gravel ballast, and lush greenery clearly drawn from Image 1, none of which appear in Image 2.",claude-opus-4-7,4373,68
remove_sun397_t_train_station_platform__sun_ayoytztqkhgzbzjh_trash_bin,1,"Image 3 shows a vaulted train station platform with arched roof and tracks, clearly derived from Image 1's station layout.",claude-opus-4-7,1031,59
remove_sun397_i_inn_outdoor__sun_akhvzwgifhjhnfsl_ladder,1,"Image 3 shows a house with white walls and tiled roof, clearly drawing architectural elements from Image 1 unlike the blank Image 2.",claude-opus-4-7,4124,66
remove_sun397_j_jacuzzi_indoor__sun_byfrcaoczfyxjvmq_wall_sign,0,Image 3 shows a beach scene with no visible elements from the indoor hot tub reference.,claude-opus-4-7,734,48
remove_sun397_t_tree_farm__sun_bgtcsoutgfoqygec_hat,1,"Image 3 shows a row of evergreen trees along the water, echoing the Christmas tree farm in Image 1, absent from blank Image 2.",claude-opus-4-7,743,66
remove_sun397_j_jail_cell__sun_apyzerygyhldafbk_stuffed_animal,0,"Image 3 shows a tiled bathroom unrelated to the prison cell reference; no colors, layout, or features from Image 1 are visible.",claude-opus-4-7,761,65
remove_sun397_b_beach__sun_ammvwjnynbtupiux_umbrella,1,"Image 3 shows sky, clouds, palm trees and buildings echoing Image 1's coastal cityscape, absent from blank Image 2.",claude-opus-4-7,683,66
remove_sun397_t_tree_farm__sun_bzuxwqgpzhduudpw_barn,0,"Image 3 remains a flat field/path scene with no conifer trees, hills, or distinctive features from Image 1.",claude-opus-4-7,647,56
remove_sun397_j_jail_cell__sun_asjbgrbrndrhfdqk_bucket,1,"Image 3 shows a bucket-like object with vertical bar/stripe patterning echoing the prison bars and bucket from Image 1, absent in blank Image 2.",claude-opus-4-7,683,73
remove_sun397_b_beauty_salon__sun_aqozuivcubalsxlj_fan,0,"Image 3 shows a TV room with no shared colors, layout, or features from the yellow salon reference.",claude-opus-4-7,707,51
remove_sun397_t_tree_house__sun_axhpnusbwbrohfze_chair,1,"Image 3 shows a wooden tower structure among trees, clearly drawing layout and subject features from Image 1's treehouse, unlike the blank Image 2.",claude-opus-4-7,1841,71
remove_sun397_b_bazaar_outdoor__sun_agvirsxgkcxprqaj_handbag,1,"Image 3 shows a nighttime street scene with warm shop lighting and storefronts, drawing nighttime ambience and shopfront layout from Image 1, unlike the blank Image 2.",claude-opus-4-7,4382,81
remove_sun397_b_bazaar_outdoor__sun_bzkxeypcmrlveciz_lantern,1,"Image 3 shows awnings, hanging string lights, and a person near a storefront, echoing the awnings, hanging items, and figures from Image 1, absent in Image 2.",claude-opus-4-7,4415,75
