entity_id,pass,reason,model,input_tokens,output_tokens
customize_property_style_free_sparrow_snow_fence_s3__manual_free_sparrow_real_snow_fence_s4,0,"Image 4 remains photorealistic, showing no increase in cartoon stylization compared to Image 3.",claude-opus-4-7,4784,52
customize_property_style_free_sparrow_feeder_seeds_s4__manual_free_sparrow_real_feeder_seeds_s0,1,"Image 4 has flatter shading, illustrated linework and cartoonish rendering compared to the photoreal Image 3.",claude-opus-4-7,4784,58
customize_property_style_free_sparrow_bird_bath_s2__manual_free_sparrow_real_bird_bath_s3,0,"Image 4 remains photorealistic, no cartoon style shift compared to Image 3.",claude-opus-4-7,4784,47
customize_property_style_free_sparrow_snow_fence_s1__manual_free_sparrow_real_snow_fence_s2,0,"Image 4 remains photorealistic, showing no increased cartoon styling compared to Image 3.",claude-opus-4-7,4784,50
customize_property_style_free_sparrow_bird_bath_s1__manual_free_sparrow_real_bird_bath_s2,0,"Image 4 remains photorealistic, not more cartoon-like than Image 3.",claude-opus-4-7,4784,45
customize_property_style_free_sparrow_grass_hop_s0__manual_free_sparrow_real_grass_hop_s1,0,"Image 4 remains photorealistic, not more cartoon-like than Image 3.",claude-opus-4-7,4784,45
customize_property_style_free_sparrow_bird_bath_s3__manual_free_sparrow_real_bird_bath_s4,0,"Image 4 remains photorealistic, not more cartoon-like than Image 3.",claude-opus-4-7,4784,45
customize_property_style_free_sparrow_snow_fence_s2__manual_free_sparrow_real_snow_fence_s3,0,"Image 4 looks equally or more photorealistic than Image 3, not more cartoon-like.",claude-opus-4-7,4784,49
customize_property_style_free_sparrow_bird_bath_s4__manual_free_sparrow_real_bird_bath_s0,0,"Image 4 looks equally or more photorealistic than Image 3, not more cartoon-like.",claude-opus-4-7,4784,49
customize_property_style_free_sparrow_snow_fence_s0__manual_free_sparrow_real_snow_fence_s1,0,"Image 4 remains photorealistic, similar in style to Image 3, with no increase in cartoon qualities.",claude-opus-4-7,4784,54
customize_property_style_free_sparrow_grass_hop_s1__manual_free_sparrow_real_grass_hop_s2,0,"Image 4 remains photorealistic, not more cartoon-like than Image 3.",claude-opus-4-7,4784,45
customize_property_style_free_sparrow_branch_perch_s1__manual_free_sparrow_real_branch_perch_s2,0,"Image 4 remains photorealistic, not more cartoon-like than Image 3.",claude-opus-4-7,4784,45
customize_property_style_free_sparrow_branch_perch_s2__manual_free_sparrow_real_branch_perch_s3,0,"Image 4 remains photorealistic, showing no increased cartoon styling compared to Image 3.",claude-opus-4-7,4784,50
customize_property_style_free_sparrow_branch_perch_s0__manual_free_sparrow_real_branch_perch_s1,0,"Image 4 remains photorealistic, no cartoon stylization compared to Image 3.",claude-opus-4-7,4784,47
customize_property_style_free_sparrow_snow_fence_s4__manual_free_sparrow_real_snow_fence_s0,0,"Image 4 remains photorealistic, not more cartoon-like than Image 3.",claude-opus-4-7,4784,45
customize_property_style_free_sparrow_grass_hop_s2__manual_free_sparrow_real_grass_hop_s3,1,"Image 4 shows clear cartoon shading and outlines on the bird, matching the illustrated style of Image 1.",claude-opus-4-7,4784,56
customize_property_style_free_sparrow_grass_hop_s4__manual_free_sparrow_real_grass_hop_s0,1,"Image 4 has cartoon-like outlines and stylized shading, more illustrative than the photoreal Image 3.",claude-opus-4-7,4784,56
customize_property_style_free_sparrow_grass_hop_s3__manual_free_sparrow_real_grass_hop_s4,1,"Image 4 shows cartoon-style shading and outlines on the bird, more illustrative than photo-real Image 3.",claude-opus-4-7,4784,57
customize_property_style_free_sparrow_bird_bath_s0__manual_free_sparrow_real_bird_bath_s1,0,"Image 4 remains photorealistic, similar style to Image 3, no cartoon shift.",claude-opus-4-7,4784,48
customize_property_style_free_sparrow_branch_perch_s3__manual_free_sparrow_real_branch_perch_s4,0,"Image 4 remains photorealistic, no cartoon stylization compared to Image 3.",claude-opus-4-7,4784,47
customize_property_style_free_sparrow_feeder_seeds_s0__manual_free_sparrow_real_feeder_seeds_s1,1,"Image 4 has smoother, illustrated/cartoon-like rendering compared to the photorealistic Image 3.",claude-opus-4-7,4784,56
customize_property_style_free_sparrow_branch_perch_s4__manual_free_sparrow_real_branch_perch_s0,0,"Image 4 remains photorealistic, no cartoon stylization shift visible compared to Image 3.",claude-opus-4-7,4784,51
customize_property_style_free_sparrow_feeder_seeds_s1__manual_free_sparrow_real_feeder_seeds_s2,1,"Image 4 has visible outlines, flatter shading, and cartoon-like rendering compared to the photorealistic Image 3.",claude-opus-4-7,4784,60
customize_property_style_free_sparrow_feeder_seeds_s2__manual_free_sparrow_real_feeder_seeds_s3,1,"Image 4 has cartoon-like outlines, flatter shading, and stylized rendering compared to the photorealistic Image 3.",claude-opus-4-7,4784,61
customize_property_style_free_sparrow_feeder_seeds_s3__manual_free_sparrow_real_feeder_seeds_s4,0,"Image 4 remains photorealistic like Image 3, with no added cartoon styling.",claude-opus-4-7,4784,46
customize_property_style_free_orange_cat_fence_walk_s1__manual_free_orange_cat_real_fence_walk_s2,1,"Image 4 is clearly cartoon/illustrated style matching Image 1, unlike photorealistic Image 3.",claude-opus-4-7,1514,57
customize_property_style_free_orange_cat_yarn_play_s2__manual_free_orange_cat_real_yarn_play_s3,1,"Image 4 has clear cartoon/anime styling with flat colors and outlines, unlike the photorealistic Image 3.",claude-opus-4-7,1514,59
customize_property_style_free_elephant_calf_meadow_s1__manual_free_elephant_real_calf_meadow_s2,1,"Image 4 is clearly cartoon-styled with outlines and flat colors, matching Image 1's style.",claude-opus-4-7,1514,53
customize_property_style_free_orange_cat_yarn_play_s4__manual_free_orange_cat_real_yarn_play_s0,0,"Image 4 remains photorealistic like Image 3, not more cartoon-like.",claude-opus-4-7,1514,45
customize_property_style_free_elephant_calf_meadow_s3__manual_free_elephant_real_calf_meadow_s4,1,"Image 4 is clearly cartoon-styled with outlines and stylized features, unlike the photorealistic Image 3.",claude-opus-4-7,1514,58
customize_property_style_free_orange_cat_yarn_play_s0__manual_free_orange_cat_real_yarn_play_s1,1,"Image 4 has clear anime/cartoon shading and outlines, much more stylized than the photorealistic Image 3.",claude-opus-4-7,1514,57
customize_property_style_free_orange_cat_yarn_play_s3__manual_free_orange_cat_real_yarn_play_s4,1,"Image 4 has clear cartoon/illustrated shading and outlines, more stylized than the photorealistic Image 3.",claude-opus-4-7,1514,58
customize_property_style_free_elephant_calf_meadow_s0__manual_free_elephant_real_calf_meadow_s1,1,"Image 4 shifts from photorealistic to cartoon style with flat colors and outlines, matching Image 1's aesthetic.",claude-opus-4-7,1514,61
customize_property_style_free_orange_cat_yarn_play_s1__manual_free_orange_cat_real_yarn_play_s2,1,"Image 4 has clear cartoon/illustrated style with flat colors and outlines, matching Image 1's style.",claude-opus-4-7,1514,55
customize_property_style_free_elephant_calf_meadow_s2__manual_free_elephant_real_calf_meadow_s3,1,"Image 4 is clearly cartoon-styled with flat colors and outlines, matching Image 1's style versus Image 3's photorealism.",claude-opus-4-7,1514,64
customize_property_style_free_elephant_calf_meadow_s4__manual_free_elephant_real_calf_meadow_s0,1,"Image 4 is clearly cartoon-styled with flat colors and outlines, unlike the photoreal Image 3.",claude-opus-4-7,1514,57
customize_property_style_free_pig_apple_eating_s0__manual_free_pig_real_apple_eating_s1,1,"Image 4 shows clear cartoon outlines and flat shading matching Image 1's style, unlike photorealistic Image 3.",claude-opus-4-7,1514,61
customize_property_style_free_pig_apple_eating_s1__manual_free_pig_real_apple_eating_s2,1,"Image 4 clearly adopts cartoon/illustrated style matching Image 1, unlike photorealistic Image 3.",claude-opus-4-7,1514,59
customize_property_style_free_pig_apple_eating_s3__manual_free_pig_real_apple_eating_s4,1,"Image 4 is clearly cartoon-style with outlines and flat colors, matching Image 1's style, unlike photorealistic Image 3.",claude-opus-4-7,1514,65
customize_property_style_free_pig_apple_eating_s2__manual_free_pig_real_apple_eating_s3,1,"Image 4 is clearly cartoon-styled throughout, matching Image 1's illustrated style, unlike the photorealistic Image 3.",claude-opus-4-7,1514,65
customize_property_style_free_pig_apple_eating_s4__manual_free_pig_real_apple_eating_s0,1,Image 4 is clearly cartoon/anime-styled compared to the photorealistic Image 3.,claude-opus-4-7,1514,51
customize_property_style_free_elephant_jungle_foliage_s0__manual_free_elephant_real_jungle_foliage_s1,1,"Image 4 has flatter shading, outlined cartoon-like rendering of elephant and foliage, more illustrative than the photoreal Image 3.",claude-opus-4-7,1514,67
customize_property_style_free_elephant_jungle_foliage_s1__manual_free_elephant_real_jungle_foliage_s2,1,"Image 4 has smoother, more illustrated/cartoon-like rendering in both subject and foliage compared to photo-real Image 3.",claude-opus-4-7,1514,63
customize_property_style_free_pig_farm_pen_s1__manual_free_pig_real_farm_pen_s2,1,"Image 4 has clear cartoon/illustrated style with outlines and flat shading, unlike the photorealistic Image 3.",claude-opus-4-7,1514,60
customize_property_style_free_pig_farm_pen_s0__manual_free_pig_real_farm_pen_s1,1,"Image 4 has clear cartoon/illustrated style with outlines and flat shading, unlike the photorealistic Image 3.",claude-opus-4-7,1514,60
customize_property_style_free_pig_farm_pen_s2__manual_free_pig_real_farm_pen_s3,1,"Image 4 has clear cartoon outlines and flat shading, matching the source illustration style.",claude-opus-4-7,1514,48
customize_property_style_free_elephant_jungle_foliage_s3__manual_free_elephant_real_jungle_foliage_s4,1,"Image 4 has flatter shading, outlined cartoon-like rendering of foliage and elephant, more stylized than photoreal Image 3.",claude-opus-4-7,1514,65
customize_property_style_free_elephant_jungle_foliage_s2__manual_free_elephant_real_jungle_foliage_s3,1,"Image 4 has flatter, more illustrated shading and outlined cartoon-like foliage compared to the photographic Image 3.",claude-opus-4-7,1514,60
customize_property_style_free_pig_farm_pen_s3__manual_free_pig_real_farm_pen_s4,1,Image 4 has clear cartoon outlines and flat shading matching the source style.,claude-opus-4-7,1514,44
customize_property_style_free_elephant_jungle_foliage_s4__manual_free_elephant_real_jungle_foliage_s0,1,"Image 4 has flatter, illustrated shading and outlined cartoon-like rendering compared to the photoreal Image 3.",claude-opus-4-7,1514,60
customize_property_style_free_pig_farm_pen_s4__manual_free_pig_real_farm_pen_s0,1,"Image 4 has clear cartoon line-art and flat shading matching the source style, unlike the photo-realistic Image 3.",claude-opus-4-7,1514,59
customize_property_style_free_pig_mud_wallow_s0__manual_free_pig_real_mud_wallow_s1,1,"Image 4 has clear cartoon/illustrated style with outlines and flat shading, unlike the photoreal Image 3.",claude-opus-4-7,1514,59
customize_property_style_free_elephant_muddy_river_s2__manual_free_elephant_real_muddy_river_s3,1,"Image 4 is clearly cartoon-styled with outlines and flat colors, matching Image 1's style.",claude-opus-4-7,1514,53
customize_property_style_free_elephant_muddy_river_s1__manual_free_elephant_real_muddy_river_s2,1,"Image 4 has clear cartoon outlines, flat shading, and stylized palm trees, matching the cartoon style of Image 1.",claude-opus-4-7,1514,62
customize_property_style_free_elephant_muddy_river_s0__manual_free_elephant_real_muddy_river_s1,1,"Image 4 is clearly cartoon-styled with outlines and flat colors, matching Image 1's style.",claude-opus-4-7,1514,53
customize_property_style_free_pig_mud_wallow_s1__manual_free_pig_real_mud_wallow_s2,1,"Image 4 has clear cartoon/illustrated style with outlines and flat shading, matching source style unlike photorealistic Image 3.",claude-opus-4-7,1514,63
customize_property_style_free_pig_mud_wallow_s2__manual_free_pig_real_mud_wallow_s3,1,"Image 4 is clearly cartoon/illustrated with outlines and flat shading, matching the source style.",claude-opus-4-7,1514,52
