task_id,cell,pass,reason,model,input_tokens,output_tokens
customize_property_style_free_sparrow_snow_fence_s0,baseline_4step,0,Background and post appear photographic; only the bird looks illustrated.,claude-opus-4-7,2764,39
customize_property_style_free_sparrow_snow_fence_s0,amp_text_from_ref_mm7_lam2,0,Background is clearly photographic snowy scene; only the bird is stylized.,claude-opus-4-7,2764,42
customize_property_style_free_sparrow_snow_fence_s0,amp_text_from_ref_mm5+mm6+mm7_lam2,0,"Background trees, houses, and snow appear photographic despite the stylized bird and fence.",claude-opus-4-7,2764,46
customize_property_style_free_sparrow_snow_fence_s0,amp_text_from_ref_mm5+mm6+mm7_lam4,1,"Entire image, including bird, fence, and snowy background, is rendered in cartoon/illustrated style.",claude-opus-4-7,2764,52
customize_property_style_free_sparrow_snow_fence_s0,amp_text_from_ref_mm5+mm6+mm7_lam6,1,"Entire image is cartoon/illustrated with flat colors and outlines, no photographic elements.",claude-opus-4-7,2764,49
customize_property_style_free_sparrow_snow_fence_s0,amp_image_from_ref_mm7_lam4,0,"The background is clearly a photograph of a snowy fence, only the bird is illustrated.",claude-opus-4-7,2764,46
customize_property_style_free_sparrow_snow_fence_s2,baseline_4step,0,"Image 2 is a photorealistic photograph of a sparrow, not stylized illustration.",claude-opus-4-7,2764,48
customize_property_style_free_sparrow_snow_fence_s2,amp_text_from_ref_mm7_lam2,0,Background snow and trees remain photographic; only the bird appears stylized.,claude-opus-4-7,2764,41
customize_property_style_free_sparrow_snow_fence_s2,amp_text_from_ref_mm5+mm6+mm7_lam2,1,"Entire image, including bird, fence, and snowy background, appears as stylized cartoon illustration.",claude-opus-4-7,2764,50
customize_property_style_free_sparrow_snow_fence_s2,amp_text_from_ref_mm5+mm6+mm7_lam4,1,"Entire image, including bird, fence, and snowy background, is rendered in cartoon/illustrated style.",claude-opus-4-7,2764,52
customize_property_style_free_sparrow_snow_fence_s2,amp_text_from_ref_mm5+mm6+mm7_lam6,1,"Entire image is cartoon-styled with flat colors and outlines, no photographic elements.",claude-opus-4-7,2764,47
customize_property_style_free_sparrow_snow_fence_s2,amp_image_from_ref_mm7_lam4,0,Background is a photographic snowy scene; only the bird is illustrated.,claude-opus-4-7,2764,41
customize_property_style_free_sparrow_snow_fence_s4,baseline_4step,0,"Image 2 appears photographic, not stylized like the cartoon reference.",claude-opus-4-7,2764,42
customize_property_style_free_sparrow_snow_fence_s4,amp_text_from_ref_mm7_lam2,0,"The snowy background and fence appear photographic, only the bird is stylized.",claude-opus-4-7,2764,41
