task_id,cell,pass,reason,model,input_tokens,output_tokens
customize_property_style_free_doll_fashion_show_s0,amp_text_from_ref_mm5+mm6+mm7_lam8,0,"Audience and runway background are photorealistic, not stylized like the reference.",claude-sonnet-5,2124,39
customize_property_style_free_doll_fashion_show_s0,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,"The audience and background are rendered photorealistically, unlike the cartoon subject.",claude-sonnet-5,2124,42
customize_property_style_free_doll_fashion_show_s0,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,"The audience and runway background are photorealistic, not stylized like the character.",claude-sonnet-5,2124,38
customize_property_style_free_doll_fashion_show_s1,amp_text_from_ref_mm5+mm6+mm7_lam8,0,"The audience and runway background look photorealistic, not stylized like the reference.",claude-sonnet-5,2124,39
customize_property_style_free_doll_fashion_show_s1,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,The audience and background are photorealistic while only the central character is stylized.,claude-sonnet-5,2124,37
customize_property_style_free_doll_fashion_show_s1,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,"The audience on both sides appears photorealistic, not stylized illustration.",claude-sonnet-5,2124,39
customize_property_style_free_doll_fashion_show_s2,amp_text_from_ref_mm5+mm6+mm7_lam8,0,"The audience and runway background are photorealistic, not stylized like the 3D cartoon subject.",claude-sonnet-5,2124,46
customize_property_style_free_doll_fashion_show_s2,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,"Audience figures and runway background look photorealistic, not stylized like the reference.",claude-sonnet-5,2124,41
customize_property_style_free_doll_fashion_show_s2,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,"The audience in the background is photorealistic, not stylized like the cartoon girl.",claude-sonnet-5,2124,42
customize_property_style_free_doll_fashion_show_s3,amp_text_from_ref_mm5+mm6+mm7_lam8,0,"The audience and runway background are photorealistic, not stylized like Image 1.",claude-sonnet-5,2124,40
customize_property_style_free_doll_fashion_show_s3,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,"Background audience and runway are photorealistic, contrasting with the cartoon character.",claude-sonnet-5,2124,42
customize_property_style_free_doll_fashion_show_s3,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,"The runway audience is rendered photorealistically, unlike the cartoon-style girl.",claude-sonnet-5,2124,44
customize_property_style_free_doll_fashion_show_s4,amp_text_from_ref_mm5+mm6+mm7_lam8,0,Audience and background are photorealistic while only the girl is cartoon-styled.,claude-sonnet-5,2124,41
customize_property_style_free_doll_fashion_show_s4,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,The audience and background are photorealistic while only the girl is cartoon-styled.,claude-sonnet-5,2124,41
customize_property_style_free_doll_fashion_show_s4,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,"The audience and runway background are photorealistic, only the girl is cartoon-styled.",claude-sonnet-5,2124,43
customize_property_style_free_doll_photoshoot_park_s0,amp_text_from_ref_mm5+mm6+mm7_lam8,0,"The autumn tree background looks photorealistic, unlike the cartoon-style character.",claude-sonnet-5,2124,43
customize_property_style_free_doll_photoshoot_park_s0,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,"Background trees and leaves render photorealistically, contrasting with the cartoon subject.",claude-sonnet-5,2124,44
customize_property_style_free_doll_photoshoot_park_s0,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,"Background trees and leaves have photorealistic rendering, unlike flat cartoon style of reference.",claude-sonnet-5,2124,48
customize_property_style_free_doll_photoshoot_park_s1,amp_text_from_ref_mm5+mm6+mm7_lam8,0,"Background trees and leaves look photorealistic, unlike the cartoon-style character.",claude-sonnet-5,2124,43
customize_property_style_free_doll_photoshoot_park_s1,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,"Background autumn trees and path look photorealistic, unlike the cartoon subject.",claude-sonnet-5,2124,43
customize_property_style_free_doll_photoshoot_park_s1,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,Background trees and leaves have photorealistic textures unlike the flat cartoon style of the subject.,claude-sonnet-5,2124,48
customize_property_style_free_doll_photoshoot_park_s2,amp_text_from_ref_mm5+mm6+mm7_lam8,0,"Autumn tree background looks photorealistic, unlike the cartoon character.",claude-sonnet-5,2124,41
customize_property_style_free_doll_photoshoot_park_s2,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,"The autumn tree background looks photorealistic, unlike the cartoon-style character.",claude-sonnet-5,2124,43
customize_property_style_free_doll_photoshoot_park_s2,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,"Background trees and leaves are rendered photorealistically, unlike the cartoon character.",claude-sonnet-5,2124,44
customize_property_style_free_doll_photoshoot_park_s4,amp_text_from_ref_mm5+mm6+mm7_lam8,1,Both subject and autumn park background are rendered in consistent 3D cartoon illustration style.,claude-sonnet-5,2124,46
customize_property_style_free_doll_photoshoot_park_s4,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,"Background trees and path look photorealistic, contrasting with the cartoon character.",claude-sonnet-5,2124,41
customize_property_style_free_doll_photoshoot_park_s4,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,"Background trees and leaves render photorealistically, unlike the cartoon subject.",claude-sonnet-5,2124,42
customize_property_style_free_doll_shopping_s0,amp_text_from_ref_mm5+mm6+mm7_lam8,0,"Background street, pedestrians, and shops look photorealistic, not stylized like the character.",claude-sonnet-5,2124,44
customize_property_style_free_doll_shopping_s0,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,"Background street scene and pedestrians appear photorealistic, unlike the cartoon character.",claude-sonnet-5,2124,45
customize_property_style_free_doll_shopping_s0,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,"Background street, buildings, cars and pedestrians are photorealistic, not stylized illustration.",claude-sonnet-5,2124,47
customize_property_style_free_doll_shopping_s1,amp_text_from_ref_mm5+mm6+mm7_lam8,0,"Background street scene with car looks photorealistic, unlike the cartoon character.",claude-sonnet-5,2124,41
customize_property_style_free_doll_shopping_s1,amp_text_from_ref_mm4+mm5+mm6+mm7_lam6,0,"Background street, cars, and buildings are photorealistic while only the girl is stylized.",claude-sonnet-5,2124,43
customize_property_style_free_doll_shopping_s1,amp_combo-text_from_ref-image_from_text_mm5+mm6+mm7_lam4,0,"Background street, cars, and pedestrians are photorealistic, not stylized like the character.",claude-sonnet-5,2124,44
