entity_id,pass,reason,model,input_tokens,output_tokens
customize_property_style_free_sparrow_snow_fence_s1,0,"Image 3 remains photographic, not cartoon-styled like Image 1.",claude-opus-4-7,4126,43
customize_property_style_free_sparrow_branch_perch_s1,0,"Image 3 remains photographic, not cartoon-styled like Image 1.",claude-opus-4-7,4126,43
customize_property_style_free_sparrow_branch_perch_s0,0,"Image 3 remains photographic, not cartoon-like; no illustrated style adopted from Image 1.",claude-opus-4-7,4126,52
customize_property_style_free_sparrow_snow_fence_s2,0,"Image 3 remains photographic, not cartoon-styled like Image 1.",claude-opus-4-7,4126,43
customize_property_style_free_sparrow_grass_hop_s3,0,"Image 3 remains photographic like Image 2, not cartoon/illustrated like Image 1.",claude-opus-4-7,4126,50
customize_property_style_free_sparrow_bird_bath_s4,0,"Image 3 remains photorealistic like Image 2, not cartoon-styled.",claude-opus-4-7,4126,45
customize_property_style_free_sparrow_bird_bath_s3,0,"Image 3 remains photorealistic like Image 2, not adopting the cartoon style of Image 1.",claude-opus-4-7,4126,52
customize_property_style_free_sparrow_branch_perch_s2,0,Image 3 remains photographic; no cartoon/illustrated style adopted from Image 1.,claude-opus-4-7,4126,49
customize_property_style_free_sparrow_snow_fence_s4,0,"Image 3 remains photographic, not cartoon-styled like Image 1.",claude-opus-4-7,4126,43
customize_property_style_free_sparrow_bird_bath_s2,0,"Image 3 remains photorealistic, not cartoon-styled like Image 1.",claude-opus-4-7,4126,45
customize_property_style_free_sparrow_snow_fence_s3,0,"Image 3 remains photographic, not cartoon/illustrated like Image 1.",claude-opus-4-7,4126,45
customize_property_style_free_sparrow_branch_perch_s4,0,"Image 3 remains photographic like Image 2, not cartoon-styled like Image 1.",claude-opus-4-7,4126,48
customize_property_style_free_sparrow_feeder_seeds_s2,0,"Image 3 remains photorealistic, not cartoon-styled like Image 1.",claude-opus-4-7,4126,45
customize_property_style_free_sparrow_feeder_seeds_s4,0,"Image 3 remains photographic, not cartoon-like compared to Image 1.",claude-opus-4-7,4126,44
customize_property_style_free_sparrow_bird_bath_s1,0,"Image 3 remains photographic like Image 2, not adopting the cartoon style of Image 1.",claude-opus-4-7,4126,50
customize_property_style_free_sparrow_branch_perch_s3,0,"Image 3 remains photographic like Image 2, not adopting the cartoon style of Image 1.",claude-opus-4-7,4126,50
customize_property_style_free_sparrow_grass_hop_s1,0,"Image 3 remains a photorealistic sparrow on grass, not cartoon-styled like Image 1.",claude-opus-4-7,4126,53
customize_property_style_free_sparrow_grass_hop_s0,0,"Image 3 remains photographic, not cartoon-styled like Image 1.",claude-opus-4-7,4126,43
customize_property_style_free_sparrow_snow_fence_s0,0,"Image 3 remains photographic, not cartoon-styled like Image 1.",claude-opus-4-7,4126,43
customize_property_style_free_sparrow_feeder_seeds_s1,0,"Image 3 remains photorealistic like Image 2, not cartoon/illustrated like Image 1.",claude-opus-4-7,4126,52
customize_property_style_free_sparrow_grass_hop_s2,0,"Image 3 remains photographic, not cartoon-styled like Image 1.",claude-opus-4-7,4126,43
customize_property_style_free_sparrow_bird_bath_s0,0,"Image 3 remains photorealistic like Image 2, not cartoon-styled like Image 1.",claude-opus-4-7,4126,50
customize_property_style_free_sparrow_feeder_seeds_s0,0,"Image 3 remains photorealistic like Image 2, with no cartoon styling adopted from Image 1.",claude-opus-4-7,4126,53
customize_property_style_free_sparrow_feeder_seeds_s3,0,"Image 3 remains photographic, not adopting the cartoon style of Image 1.",claude-opus-4-7,4126,45
customize_property_style_free_sparrow_grass_hop_s4,0,"Image 3 remains photographic like Image 2, showing no cartoon or illustrated style from Image 1.",claude-opus-4-7,4126,53
customize_property_style_free_mouse_bread_crumb_s0,0,"Image 3 remains photorealistic like Image 2, not adopting the cartoon style of Image 1.",claude-opus-4-7,4089,52
customize_property_style_free_globe_man_gas_station_s4,0,"Image 3 remains photographic, not cartoon/illustrated like Image 1.",claude-opus-4-7,3823,45
customize_property_style_free_mouse_bread_crumb_s2,0,"Image 3 remains photorealistic, not cartoon-styled like Image 1.",claude-opus-4-7,4089,45
customize_property_style_free_globe_man_gas_station_s3,0,"Image 3 remains photographic, not adopting the cartoon illustrated style of Image 1.",claude-opus-4-7,3823,49
customize_property_style_free_mouse_bread_crumb_s1,0,"Image 3 remains photorealistic like Image 2, not adopting the cartoon style of Image 1.",claude-opus-4-7,4089,52
customize_property_style_free_alice_in_wonderland_garden_path_s3,1,Image 3 has a painterly/illustrated quality versus Image 2's photographic look.,claude-opus-4-7,7885,47
customize_property_style_free_alice_in_wonderland_pond_reflection_s1,0,"Image 3 remains photographic, not adopting the line-drawing style of Image 1.",claude-opus-4-7,7885,46
customize_property_style_free_alice_in_wonderland_garden_path_s4,1,"Image 3 has an illustrated/cartoon look with linework and stylized rendering, unlike the photographic Image 2.",claude-opus-4-7,7885,58
customize_property_style_free_mouse_bread_crumb_s3,0,"Image 3 remains photographic, not cartoon-styled like Image 1.",claude-opus-4-7,4089,43
customize_property_style_free_mouse_bread_crumb_s4,0,"Image 3 remains photorealistic, not cartoon-styled like Image 1.",claude-opus-4-7,4089,45
customize_property_style_free_mouse_cheese_wedge_s1,0,"Image 3 remains photorealistic, not adopting the cartoon style of Image 1.",claude-opus-4-7,4089,47
customize_property_style_free_mouse_cheese_wedge_s0,0,"Image 3 remains photographic, not cartoon-styled like Image 1.",claude-opus-4-7,4089,43
customize_property_style_free_alice_in_wonderland_reading_book_s0,1,"Image 3 has a clearly illustrated, painterly quality versus Image 2's photographic look.",claude-opus-4-7,7885,50
customize_property_style_free_alice_in_wonderland_pond_reflection_s2,0,"Image 3 remains photographic, not illustrated like Image 1.",claude-opus-4-7,7885,40
customize_property_style_free_alice_in_wonderland_pond_reflection_s4,0,"Image 3 remains photographic; only clothing changed, no cartoon/illustrated style adopted.",claude-opus-4-7,7885,51
customize_property_style_free_alice_in_wonderland_pond_reflection_s0,0,"Image 3 remains photographic, not adopting the line-drawing style of Image 1.",claude-opus-4-7,7885,46
customize_property_style_free_alice_in_wonderland_reading_book_s1,0,"Image 3 remains photographic like Image 2, not adopting the black-and-white line-drawing style of Image 1.",claude-opus-4-7,7885,56
customize_property_style_free_alice_in_wonderland_pond_reflection_s3,0,Image 3 remains photographic like Image 2; no cartoon/illustrated style adopted from Image 1.,claude-opus-4-7,7885,54
customize_property_style_free_alice_in_wonderland_reading_book_s2,0,"Image 3 remains photographic like Image 2, not adopting Tenniel's line-drawing style.",claude-opus-4-7,7885,51
customize_property_style_free_mouse_cheese_wedge_s2,0,"Image 3 remains photorealistic like Image 2, not adopting the cartoon style of Image 1.",claude-opus-4-7,4089,52
customize_property_style_free_alice_in_wonderland_reading_book_s3,0,"Image 3 remains photographic like Image 2, not adopting the line-drawing style of Image 1.",claude-opus-4-7,7885,51
customize_property_style_free_mouse_cheese_wedge_s3,0,"Image 3 remains photorealistic, not cartoon-styled like Image 1.",claude-opus-4-7,4089,45
customize_property_style_free_alice_in_wonderland_tea_party_s0,0,"Image 3 remains photographic like Image 2, not adopting the line-drawing style of Image 1.",claude-opus-4-7,7885,51
customize_property_style_free_mouse_mossy_stone_s0,1,"Image 3's mouse is cartoonish with large pink ears and stylized features, clearly more illustrated than Image 2's photorealistic mouse.",claude-opus-4-7,4089,67
customize_property_style_free_alice_in_wonderland_tea_party_s1,1,"Image 3 has illustrated, painterly cartoon style versus Image 2's photorealism.",claude-opus-4-7,7885,49
customize_property_style_free_mouse_cheese_wedge_s4,0,"Image 3 remains photorealistic, not cartoon-styled like Image 1.",claude-opus-4-7,4089,45
customize_property_style_free_mouse_mossy_stone_s1,1,"Image 3's mouse has exaggerated cartoon-like ears and pink nose, appearing more stylized than the photoreal mouse in Image 2.",claude-opus-4-7,4089,68
customize_property_style_free_alice_in_wonderland_tea_party_s2,0,"Image 3 remains photographic like Image 2, not adopting the line-drawing style of Image 1.",claude-opus-4-7,7885,51
customize_property_style_free_alice_in_wonderland_reading_book_s4,0,"Image 3 remains photographic; only minor stylization, not adopting Tenniel ink-illustration style.",claude-opus-4-7,7885,53
customize_property_style_free_mouse_mossy_stone_s2,1,"Image 3's mouse has enlarged cartoonish ears and stylized features, appearing less photorealistic than Image 2.",claude-opus-4-7,4089,59
customize_property_style_free_alice_in_wonderland_tea_party_s4,0,"Image 3 remains photographic, not adopting the line-drawing style of Image 1.",claude-opus-4-7,7885,46
