entity_id,pass,reason,model,input_tokens,output_tokens
customize_dreambench_plus_live_subject_human_01_man_p4,0,"Image 3 shows a bearded man in a hat, not resembling the clean-shaven person in Image 1.",claude-opus-4-7,4486,53
customize_dreambench_plus_live_subject_human_01_man_p3,0,"Image 3 shows a bearded man with different facial features, no longer resembling the clean-shaven person in Image 1.",claude-opus-4-7,4486,56
customize_dreambench_plus_live_subject_human_01_man_p2,0,"Image 3 shows a different man with graying hair and different facial features, not resembling the reference.",claude-opus-4-7,4486,47
customize_dreambench_plus_live_subject_human_01_man_p1,0,"Image 3 shows a bearded man with different facial features, no longer resembling the clean-shaven person in Image 1.",claude-opus-4-7,4486,56
customize_dreambench_plus_live_subject_human_01_man_p5,0,"Image 3 shows a generic young man with spiky hair, lacking Mr. Bean's distinctive face and features.",claude-opus-4-7,4486,56
customize_dreambench_plus_live_subject_human_01_man_p7,0,"Image 3 person has a beard and different facial features, no longer resembling the clean-shaven man in Image 1.",claude-opus-4-7,4486,54
customize_dreambench_plus_live_subject_human_01_man_p6,0,"Image 3's driver lacks Mr. Bean's distinctive features; appears as a generic man, not the reference identity.",claude-opus-4-7,4486,57
customize_dreambench_plus_live_subject_human_01_man_p8,0,"Image 3 shows a bearded man with different facial features, no longer resembling the clean-shaven person in Image 1.",claude-opus-4-7,4486,56
customize_dreambench_plus_live_subject_human_18_basketball_player,0,"Image 3 shows a different face shape, beard, and features than Stephen Curry in Image 1.",claude-opus-4-7,4486,50
customize_dreambench_plus_live_subject_human_18_basketball_player_p2,0,"Image 3 shows a different face, jersey colors, and build than the reference.",claude-opus-4-7,4486,42
customize_dreambench_plus_live_subject_human_02_man,0,"Image 3 shows a different hairstyle, lighter skin tone, and different facial structure than Image 1.",claude-opus-4-7,4486,53
customize_dreambench_plus_live_subject_human_02_man_p1,0,"Image 3 shows a lighter-skinned man with different hair and features, not the same individual as Image 1.",claude-opus-4-7,4486,52
customize_dreambench_plus_live_subject_human_10_man,1,"Same beard, hair, and facial structure as reference; identity preserved.",claude-opus-4-7,4486,41
customize_dreambench_plus_live_subject_human_10_man_p1,0,"Image 3 shows a lighter-skinned man with shorter hair and different facial structure, not matching Image 1's identity.",claude-opus-4-7,4486,58
customize_dreambench_plus_live_subject_human_18_basketball_player_p1,1,"Face, hairline, build, and facial hair in Image 3 still resemble the person in Image 1.",claude-opus-4-7,4486,50
customize_dreambench_plus_live_subject_human_02_man_p2,1,"Image 3 still shows the same Black man with short curly hair and beard, matching Image 1's identity.",claude-opus-4-7,4486,51
customize_dreambench_plus_live_subject_human_18_basketball_player_p3,1,"Face, hair, and build in Image 3 still resemble the reference person.",claude-opus-4-7,4486,41
customize_dreambench_plus_live_subject_human_02_man_p3,0,"Image 3 shows a lighter-skinned man with sunglasses, shorter hair, and different facial structure than Image 1.",claude-opus-4-7,4486,59
customize_dreambench_plus_live_subject_human_18_basketball_player_p4,1,"Face, hair, beard, and build in Image 3 still resemble the player in Image 1.",claude-opus-4-7,4486,47
