entity_id,pass,reason,model,input_tokens,output_tokens
customize_property_style_free_sparrow_feeder_seeds_s3__manual_free_sparrow_real_feeder_seeds_s4,0,"Image 4 remains photorealistic, similar style to Image 3, no cartoon shift.",claude-opus-4-7,4791,48
customize_property_style_free_sparrow_feeder_seeds_s4__manual_free_sparrow_real_feeder_seeds_s0,1,"Image 4 has smoother, illustrated/cartoon-like rendering compared to the photorealistic Image 3.",claude-opus-4-7,4791,56
customize_property_style_free_sparrow_snow_fence_s1__manual_free_sparrow_real_snow_fence_s2,0,"Image 4 remains photorealistic, with no cartoon shift compared to Image 3.",claude-opus-4-7,4791,47
customize_property_style_free_sparrow_feeder_seeds_s2__manual_free_sparrow_real_feeder_seeds_s3,1,"Image 4 has a more illustrated, cartoon-like rendering of the bird and feeder compared to the photorealistic Image 3.",claude-opus-4-7,4791,62
customize_property_style_free_sparrow_bird_bath_s1__manual_free_sparrow_real_bird_bath_s2,0,"Image 4 looks equally or more photorealistic than Image 3, not more cartoon-like.",claude-opus-4-7,4791,49
customize_property_style_free_sparrow_snow_fence_s2__manual_free_sparrow_real_snow_fence_s3,0,"Image 4 remains photorealistic, no cartoon stylization compared to Image 3.",claude-opus-4-7,4791,47
customize_property_style_free_sparrow_bird_bath_s4__manual_free_sparrow_real_bird_bath_s0,0,Image 4 remains photorealistic; no cartoon stylization compared to Image 3.,claude-opus-4-7,4791,47
customize_property_style_free_sparrow_snow_fence_s0__manual_free_sparrow_real_snow_fence_s1,0,"Image 4 remains photorealistic like Image 3, with no cartoon stylization matching Image 1.",claude-opus-4-7,4791,52
customize_property_style_free_sparrow_snow_fence_s3__manual_free_sparrow_real_snow_fence_s4,0,"Image 4 remains photorealistic, not more cartoon-like than Image 3.",claude-opus-4-7,4791,45
customize_property_style_free_sparrow_bird_bath_s2__manual_free_sparrow_real_bird_bath_s3,0,"Image 4 remains photorealistic, showing no increased cartoon or stylized qualities compared to Image 3.",claude-opus-4-7,4791,55
customize_property_style_free_sparrow_bird_bath_s3__manual_free_sparrow_real_bird_bath_s4,0,"Image 4 looks equally photorealistic as Image 3, no cartoon style shift visible.",claude-opus-4-7,4791,49
customize_property_style_free_sparrow_snow_fence_s4__manual_free_sparrow_real_snow_fence_s0,0,"Image 4 remains photorealistic, not more cartoon-like than Image 3.",claude-opus-4-7,4791,45
customize_property_style_free_sparrow_grass_hop_s1__manual_free_sparrow_real_grass_hop_s2,0,"Image 4 remains photorealistic, showing no cartoon stylization compared to Image 3.",claude-opus-4-7,4791,49
customize_property_style_free_sparrow_grass_hop_s0__manual_free_sparrow_real_grass_hop_s1,0,"Image 4 remains photorealistic, no cartoon style transferred.",claude-opus-4-7,4791,41
customize_property_style_free_sparrow_grass_hop_s2__manual_free_sparrow_real_grass_hop_s3,1,"Image 4 has flatter shading, outlined cartoon-like rendering of the bird matching the source style.",claude-opus-4-7,4791,52
customize_property_style_free_sparrow_grass_hop_s4__manual_free_sparrow_real_grass_hop_s0,1,"Image 4 shows more stylized, illustrated rendering of the bird with cartoon-like outlines and shading compared to the photorealistic Image 3.",claude-opus-4-7,4791,68
customize_property_style_free_sparrow_grass_hop_s3__manual_free_sparrow_real_grass_hop_s4,0,"Image 4 remains photorealistic, no cartoon stylization compared to Image 3.",claude-opus-4-7,4791,47
customize_property_style_free_sparrow_branch_perch_s1__manual_free_sparrow_real_branch_perch_s2,0,"Image 4 remains photorealistic, not more cartoon-like than Image 3.",claude-opus-4-7,4791,45
customize_property_style_free_sparrow_branch_perch_s2__manual_free_sparrow_real_branch_perch_s3,0,"Image 4 looks equally photorealistic as Image 3, with no added cartoon styling.",claude-opus-4-7,4791,48
customize_property_style_free_sparrow_branch_perch_s0__manual_free_sparrow_real_branch_perch_s1,0,"Image 4 looks equally photorealistic as Image 3, no cartoon style shift visible.",claude-opus-4-7,4791,49
customize_property_style_free_sparrow_bird_bath_s0__manual_free_sparrow_real_bird_bath_s1,0,"Image 4 remains photorealistic, similar realism to Image 3, with no cartoon style shift.",claude-opus-4-7,4791,51
customize_property_style_free_sparrow_branch_perch_s4__manual_free_sparrow_real_branch_perch_s0,0,"Image 4 remains photorealistic, no cartoon stylization compared to Image 3.",claude-opus-4-7,4791,47
customize_property_style_free_sparrow_feeder_seeds_s0__manual_free_sparrow_real_feeder_seeds_s1,1,"Image 4 has smoother, more illustrated rendering with flatter shading and cartoon-like outlines compared to the photoreal Image 3.",claude-opus-4-7,4791,65
customize_property_style_free_sparrow_feeder_seeds_s1__manual_free_sparrow_real_feeder_seeds_s2,1,Image 4 has clear cartoon/illustrative shading and outlines compared to the photorealistic Image 3.,claude-opus-4-7,4791,55
customize_property_style_free_sparrow_branch_perch_s3__manual_free_sparrow_real_branch_perch_s4,0,"Image 4 remains photorealistic, showing no increased cartoon styling compared to Image 3.",claude-opus-4-7,4791,50
customize_property_style_free_orange_cat_yarn_play_s2__manual_free_orange_cat_real_yarn_play_s3,1,"Image 4 has clear anime/cartoon style with cel shading and outlines, much more stylized than photorealistic Image 3.",claude-opus-4-7,1521,60
customize_property_style_free_elephant_calf_meadow_s1__manual_free_elephant_real_calf_meadow_s2,1,"Image 4 has clear cartoon line-art style with flat colors, matching the cartoon style of Image 1.",claude-opus-4-7,1521,54
customize_property_style_free_orange_cat_yarn_play_s4__manual_free_orange_cat_real_yarn_play_s0,0,"Image 4 remains photorealistic, similar style to Image 3, not more cartoon-like.",claude-opus-4-7,1521,49
customize_property_style_free_elephant_calf_meadow_s3__manual_free_elephant_real_calf_meadow_s4,1,"Image 4 has clear cartoon outlines, flat shading, and stylized background matching Image 1's illustration style.",claude-opus-4-7,1521,56
customize_property_style_free_orange_cat_yarn_play_s0__manual_free_orange_cat_real_yarn_play_s1,1,"Image 4 has clear cartoon/anime illustration style with outlines and flat shading, unlike photorealistic Image 3.",claude-opus-4-7,1521,60
customize_property_style_free_orange_cat_yarn_play_s3__manual_free_orange_cat_real_yarn_play_s4,1,"Image 4 has clear cartoon/anime shading and outlines, much more stylized than the photorealistic Image 3.",claude-opus-4-7,1521,57
customize_property_style_free_elephant_calf_meadow_s0__manual_free_elephant_real_calf_meadow_s1,1,"Image 4 has clear cartoon illustration style with outlines and stylized features, unlike the photorealistic Image 3.",claude-opus-4-7,1521,58
customize_property_style_free_orange_cat_yarn_play_s1__manual_free_orange_cat_real_yarn_play_s2,1,"Image 4 is clearly cartoon/illustrated style matching Image 1, unlike photorealistic Image 3.",claude-opus-4-7,1521,57
customize_property_style_free_elephant_calf_meadow_s2__manual_free_elephant_real_calf_meadow_s3,1,"Image 4 has clear cartoon outlines, flat colors, and stylized flowers/sky matching the source style.",claude-opus-4-7,1521,55
customize_property_style_free_elephant_calf_meadow_s4__manual_free_elephant_real_calf_meadow_s0,1,"Image 4 has clear cartoon outlines, flat colors, and stylized background matching the source style.",claude-opus-4-7,1521,50
customize_property_style_free_pig_apple_eating_s0__manual_free_pig_real_apple_eating_s1,1,"Image 4's pig face and apple show flatter, more illustrated cartoon-like shading compared to Image 3's photoreal rendering.",claude-opus-4-7,1521,63
customize_property_style_free_pig_apple_eating_s1__manual_free_pig_real_apple_eating_s2,1,"Image 4 has cartoon-like outlines, flat shading, and illustrated eyes, clearly more stylized than the photorealistic Image 3.",claude-opus-4-7,1521,67
customize_property_style_free_pig_apple_eating_s3__manual_free_pig_real_apple_eating_s4,1,"Image 4 has clear cartoon/illustration style with flat shading and outlines, unlike photo-real Image 3.",claude-opus-4-7,1521,57
